stock_code,description,units_sold,units_returned,gross_sales,returns_value,net_revenue
22699,TEACUP AND SAUCER REGENCY ROSES,13070.0,491.0,38249.5,1295.25,36954.25
21485,RETROSPOT HEART HOT WATER BOTTLE,7593.0,36.0,37078.67,178.2,36900.47
23284,DOORMAT KEEP CALM AND COME IN,5487.0,225.0,38133.64,1601.25,36532.39
22727,ALARM CLOCK BAKELIKE RED,9234.0,84.0,36543.77,315.0,36228.77
21524,SPOTTY  HOME SWEET HOME DOORMAT,5255.0,7.0,35955.44,56.39,35899.05
84997C,CHILDRENS CUTLERY POLKADOT BLUE,9151.0,92.0,35699.23,319.48,35379.75
20724,RED SPOTTY CHARLOTTE BAG,32197.0,321.0,35190.21,252.83,34937.38
21755,LOVE BUILDING BLOCK WORD,5643.0,48.0,34836.02,285.6,34550.42
22379,RECYCLING BAG RETROSPOT,15765.0,67.0,34640.84,128.95,34511.89
22328,ROUND SNACK BOXES SET OF 4 FRUITS,12959.0,699.0,36170.31,1812.45,34357.86
22382,LUNCHBAG SPACEBOY DESIGN,20248.0,253.0,34071.97,387.25,33684.72
22384,LUNCHBAG PINK RETROSPOT,20783.0,285.0,34088.79,434.85,33653.94
22666,RECIPE BOX PANTRY YELLOW DESIGN,10706.0,237.0,33682.62,655.55,33027.07
22630,DOLLY GIRL LUNCH BOX,18058.0,302.0,33380.83,531.0,32849.83
22726,ALARM CLOCK BAKELIKE GREEN,7671.0,65.0,32609.32,243.75,32365.57
15036,ASSORTED COLOURS SILK FAN,44272.0,929.0,32967.03,644.03,32323.0
22385,JUMBO BAG SPACEBOY DESIGN,17057.0,426.0,32433.5,725.44,31708.06
22077,6 RIBBONS RUSTIC CHARM,17238.0,117.0,31513.11,193.05,31320.06
85152,HAND OVER THE CHOCOLATE   SIGN,16373.0,101.0,31483.7,191.51,31292.19
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,6194.0,18.0,31268.0,105.1,31162.9
22865,HAND WARMER OWL DESIGN,14537.0,126.0,31416.04,264.35,31151.69
48184,DOORMAT ENGLISH ROSE,4715.0,11.0,31142.63,86.07,31056.56
23245,SET OF 3 REGENCY CAKE TINS,6345.0,90.0,31118.55,421.5,30697.05
21479,WHITE SKULL HOT WATER BOTTLE,6219.0,196.0,31079.8,677.18,30402.62
22697,TEACUP AND SAUCER REGENCY GREEN,9795.0,184.0,30425.05,506.8,29918.25
20679,EDWARDIAN PARASOL RED,6149.0,18.0,30020.97,107.1,29913.87
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6830.0,60.0,29533.87,219.7,29314.17
21217,RED SPOTTY ROUND CAKE TINS,2904.0,50.0,29769.24,484.5,29284.74
47590B,PINK HAPPY BIRTHDAY BUNTING,5751.0,57.0,29504.36,293.05,29211.31
22501,PICNIC BASKET WICKER LARGE,2612.0,131.0,30339.36,1158.45,29180.91
23199,JUMBO BAG APPLES,14908.0,723.0,30450.69,1309.25,29141.44
22659,LUNCHBOX I LOVE LONDON,15942.0,337.0,29563.81,574.95,28988.86
22158,3 HEARTS HANGING DECORATION RUSTIC,8985.0,82.0,29198.28,239.9,28958.38
22622,BOX OF VINTAGE ALPHABET BLOCKS,2945.0,61.0,29450.11,559.35,28890.76
48188,DOORMAT WELCOME PUPPIES,4872.0,11.0,28639.1,85.35,28553.75
23355,HOT WATER BOTTLE KEEP CALM,5816.0,96.0,28718.8,417.6,28301.2
22188,BLACK HEART CARD HOLDER,10353.0,5.0,28112.03,19.75,28092.28
84978,HANGING HEART JAR T-LIGHT HOLDER,21689.0,361.0,28475.96,417.72,28058.24
22866,HAND WARMER SCOTTY DOG DESIGN,12778.0,135.0,28266.87,259.5,28007.37
21977,PACK OF 60 PINK PAISLEY CAKE CASES,56061.0,219.0,28081.73,117.3,27964.43
82583,HOT BATHS METAL SIGN,12877.0,107.0,27981.99,204.09,27777.9
22492,MINI PAINT SET VINTAGE  BOY+ GIRL,43546.0,281.0,27817.59,182.65,27634.94
20719,WOODLAND CHARLOTTE BAG,24479.0,135.0,27598.42,106.82,27491.6
22467,GUMBALL COAT RACK,11868.0,294.0,28059.48,665.55,27393.93
21930,JUMBO STORAGE BAG SKULLS,13390.0,6.0,27368.08,11.49,27356.59
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4878.0,283.0,29003.37,1683.85,27319.52
72741,GRAND CHOCOLATECANDLE,19712.0,62.0,27239.46,89.3,27150.16
22624,IVORY KITCHEN SCALES,3152.0,26.0,27282.73,214.2,27068.53
84991,60 TEATIME FAIRY CAKE CASES,54028.0,350.0,27041.21,187.95,26853.26
23201,JUMBO BAG ALPHABET,13366.0,594.0,27850.83,1076.02,26774.81
20750,RED/WHITE DOT MINI CASES,3688.0,20.0,26866.63,144.6,26722.03
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,9772.0,30.0,26763.75,86.7,26677.05
71459,HANGING JAM JAR T-LIGHT HOLDERS,32989.0,327.0,26738.79,257.28,26481.51
22961,JAM MAKING SET PRINTED,17252.0,344.0,26888.43,444.6,26443.83
22752,SET 7 BABUSHKA NESTING BOXES,3459.0,224.0,28139.45,1761.2,26378.25
22867,HAND WARMER BIRD DESIGN,11872.0,82.0,26117.63,172.2,25945.43
48111,DOORMAT 3 SMILEY CATS,4248.0,16.0,25970.0,102.4,25867.6
20971,PINK BLUE FELT CRAFT TRINKET BOX,22260.0,2571.0,28580.97,2739.32,25841.65
82600,NO SINGING METAL SIGN,12675.0,43.0,25736.19,83.8,25652.39
20711,JUMBO BAG TOYS,12643.0,38.0,25719.13,70.31,25648.82
22507,MEMO BOARD RETROSPOT  DESIGN,5455.0,24.0,25603.46,118.1,25485.36
22551,PLASTERS IN TIN SPACEBOY,15441.0,287.0,25912.87,435.15,25477.72
22835,HOT WATER BOTTLE I AM SO POORLY,5302.0,408.0,27082.84,1744.8,25338.04
21080,SET/20 RED SPOTTY PAPER NAPKINS,31076.0,653.0,25416.93,433.67,24983.26
22149,FELTCRAFT 6 FLOWER FRIENDS,12674.0,664.0,26218.97,1244.4,24974.57
22087,PAPER BUNTING WHITE LACE,8475.0,159.0,25389.1,465.4,24923.7
37503,TEA TIME CAKE STAND IN GIFT BOX,2465.0,51.0,25428.33,515.45,24912.88
22084,PAPER CHAIN KIT EMPIRE,8803.0,111.0,25163.56,299.45,24864.11
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,40439.0,729.0,25205.13,415.35,24789.78
23173,REGENCY TEAPOT ROSES,2766.0,52.0,24879.13,436.4,24442.73
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5972.0,36.0,24459.96,141.7,24318.26
48173C,DOORMAT BLACK FLOCK,4147.0,7.0,24256.47,55.93,24200.54
84836,ZINC METAL HEART DECORATION,19847.0,102.0,24289.33,127.5,24161.83
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,106139.0,1704.0,24445.61,361.68,24083.93
22728,ALARM CLOCK BAKELIKE PINK,6215.0,53.0,24257.31,198.75,24058.56
22698,TEACUP AND SAUCER REGENCY PINK,8193.0,197.0,24374.62,546.75,23827.87
21231,SWEETHEART CERAMIC TRINKET BOX,19428.0,323.0,24128.86,388.93,23739.93
21527,RETRO SPOT TRADITIONAL TEAPOT,3345.0,171.0,24968.47,1333.48,23634.99
21955,UNION JACK GUNS & ROSES  DOORMAT,3911.0,28.0,23734.4,183.28,23551.12
21481,FAWN BLUE HOT WATER BOTTLE,8174.0,802.0,25613.45,2065.9,23547.55
21790,VINTAGE SNAP CARDS,27244.0,203.0,23506.17,162.67,23343.5
47590A,BLUE HAPPY BIRTHDAY BUNTING,4753.0,188.0,24185.03,887.8,23297.23
23344,JUMBO BAG 50'S CHRISTMAS,10285.0,262.0,23772.07,486.96,23285.11
22605,WOODEN CROQUET GARDEN SET,1827.0,14.0,23426.82,170.3,23256.52
20972,PINK CREAM FELT CRAFT TRINKET BOX,20496.0,1497.0,24785.31,1553.39,23231.92
47566B,TEA TIME PARTY BUNTING,6013.0,1635.0,27564.75,4490.5,23074.25
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4800.0,117.0,23489.42,545.55,22943.87
22607,WOODEN ROUNDERS GARDEN SET,2533.0,16.0,22906.54,133.55,22772.99
22625,RED KITCHEN SCALES,2627.0,37.0,22911.55,299.2,22612.35
22554,PLASTERS IN TIN WOODLAND ANIMALS,13588.0,159.0,22853.72,243.15,22610.57
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,3141.0,154.0,23709.46,1212.1,22497.36
84970S,HANGING HEART ZINC T-LIGHT HOLDER,26817.0,125.0,22578.3,105.2,22473.1
84406B,CREAM CUPID HEARTS COAT HANGER,7133.0,218.0,23093.95,663.1,22430.85
21936,RED/WHITE SPOT PICNIC BAG,7805.0,143.0,22741.31,391.75,22349.56
21314,SMALL GLASS HEART TRINKET POT,11426.0,1228.0,24641.39,2296.8,22344.59
85014A,BLACK/BLUE POLKADOT UMBRELLA,4656.0,8.0,22213.7,47.6,22166.1
22556,PLASTERS IN TIN CIRCUS PARADE,13585.0,107.0,22334.08,176.55,22157.53
20749,ASSORTED COLOUR MINI CASES,3062.0,13.0,22097.61,101.75,21995.86
22113,GREY HEART HOT WATER BOTTLE,5759.0,32.0,22025.93,121.8,21904.13
22499,WOODEN UNION JACK BUNTING,3584.0,7.0,21826.52,41.65,21784.87
21791,VINTAGE HEADS AND TAILS CARD GAME,17604.0,1077.0,22858.6,1156.25,21702.35
22585,PACK OF 6 BIRDY GIFT TAGS,17557.0,394.0,21977.3,442.91,21534.39
21210,SET OF 72 RETROSPOT PAPER  DOILIES,15118.0,151.0,21727.19,197.55,21529.64
23202,JUMBO BAG VINTAGE LEAF,10941.0,242.0,21810.43,442.46,21367.97
23209,LUNCH BAG VINTAGE DOILY,13170.0,40.0,21418.82,65.8,21353.02
21213,PACK OF 72 SKULL CAKE CASES,40263.0,89.0,21390.76,48.95,21341.81
22969,HOMEMADE JAM SCENTED CANDLES,14461.0,140.0,21501.99,185.8,21316.19
22941,CHRISTMAS LIGHTS 10 REINDEER,2615.0,74.0,21727.58,610.3,21117.28
22456,NATURAL SLATE CHALKBOARD LARGE,4416.0,104.0,21583.2,501.5,21081.7
84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,5363.0,26.0,20882.48,98.7,20783.78
23206,LUNCH BAG APPLE DESIGN,12147.0,59.0,20852.58,97.15,20755.43
48116,DOORMAT MULTICOLOUR STRIPE,3452.0,3.0,20712.63,24.15,20688.48
21218,RED SPOTTY BISCUIT TIN,5256.0,79.0,20800.31,277.25,20523.06
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2685.0,93.0,21201.13,695.35,20505.78
22294,HEART FILIGREE DOVE  SMALL,16671.0,107.0,20629.38,133.75,20495.63
22632,HAND WARMER RED RETROSPOT,10290.0,35.0,20540.33,71.5,20468.83
22356,CHARLOTTE BAG PINK WITH WHITE SPOTS,20015.0,582.0,20871.9,430.74,20441.16
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17875.0,72.0,20469.08,90.0,20379.08
22424,ENAMEL BREAD BIN CREAM,1529.0,47.0,20886.89,570.45,20316.44
21559,STRAWBERRY LUNCHBOX WITH CUTLERY,8227.0,34.0,20345.53,86.25,20259.28
20723,STRAWBERRY CHARLOTTE BAG,18296.0,187.0,20401.05,157.78,20243.27
85150,LADIES & GENTLEMEN METAL SIGN,8361.0,26.0,20237.72,64.95,20172.77
37449,CERAMIC CAKE STAND + HANGING CAKES,2382.0,255.0,22333.3,2234.15,20099.15
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",3884.0,23.0,20169.0,111.75,20057.25
21258,VICTORIAN SEWING BOX LARGE,1505.0,121.0,21386.56,1360.15,20026.41
21622,VINTAGE UNION JACK CUSHION COVER,3699.0,43.0,19936.94,212.85,19724.09
21174,POTTERING IN THE SHED METAL SIGN,9696.0,4.0,19593.81,7.8,19586.01
22381,TOY TIDY PINK RETROSPOT,9265.0,30.0,19619.54,62.75,19556.79
22568,FELTCRAFT CUSHION OWL,5479.0,212.0,20244.97,725.16,19519.81
48129,DOORMAT TOPIARY,3127.0,23.0,19608.91,159.15,19449.76
22570,FELTCRAFT CUSHION RABBIT,5631.0,431.0,20901.1,1464.33,19436.77
22617,BAKING SET SPACEBOY DESIGN,4251.0,243.0,20546.99,1147.55,19399.44
22413,METAL SIGN TAKE IT OR LEAVE IT,6976.0,129.0,19728.24,340.55,19387.69
22558,CLOTHES PEGS RETROSPOT PACK 24,13809.0,91.0,19513.17,130.71,19382.46
22900,SET 2 TEA TOWELS I LOVE LONDON,6156.0,216.0,19834.04,552.6,19281.44
21908,CHOCOLATE THIS WAY METAL SIGN,9678.0,32.0,19125.98,67.2,19058.78
22952,SET 72 CAKE CASES VINTAGE CHRISTMAS,32988.0,552.0,19240.05,241.2,18998.85
22427,ENAMEL FLOWER JUG CREAM,3210.0,50.0,19273.28,291.5,18981.78
22569,FELTCRAFT CUSHION BUTTERFLY,5521.0,345.0,20104.43,1170.63,18933.8
22561,WOODEN SCHOOL COLOURING SET,11642.0,410.0,19524.27,611.7,18912.57
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12962.0,3159.0,25407.27,6614.37,18792.9
22169,FAMILY ALBUM WHITE PICTURE FRAME,2275.0,93.0,19507.6,741.2,18766.4
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15810.0,37.0,18744.17,44.54,18699.63
47591D,PINK FAIRY CAKE CHILDRENS APRON,9643.0,12.0,18716.67,23.4,18693.27
71053,WHITE MOROCCAN METAL LANTERN,4769.0,68.0,18906.77,248.52,18658.25
22555,PLASTERS IN TIN STRONGMAN,11549.0,40.0,18680.32,66.0,18614.32
22041,"RECORD FRAME 7"" SINGLE SIZE",7540.0,42.0,18650.87,103.95,18546.92
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1758.0,62.0,19194.13,670.1,18524.03
21121,SET/10 RED SPOTTY PARTY CANDLES,15215.0,170.0,18442.7,212.5,18230.2
84949,SILVER HANGING T-LIGHT HOLDER,11945.0,512.0,19015.8,793.8,18222.0
21035,SET/2 RED SPOTTY TEA TOWELS,5994.0,207.0,18644.78,570.65,18074.13
22061,LARGE CAKE STAND  HANGING STRAWBERY,2171.0,114.0,19121.37,1060.35,18061.02
21484,CHICK GREY HOT WATER BOTTLE,4584.0,51.0,18171.14,157.95,18013.19
22505,MEMO BOARD COTTAGE DESIGN,3773.0,19.0,18034.63,94.05,17940.58
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4621.0,62.0,18044.97,222.78,17822.19
22560,TRADITIONAL MODELLING CLAY,14836.0,175.0,17861.71,191.2,17670.51
22352,LUNCHBOX WITH CUTLERY RETROSPOT,7090.0,65.0,17830.71,165.3,17665.41
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,17633.0,36.0,17664.18,34.2,17629.98
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,21605.0,156.0,17746.71,141.73,17604.98
21914,BLUE HARMONICA IN BOX,12957.0,120.0,17725.36,150.0,17575.36
22847,"BREAD BIN, DINER STYLE, IVORY",1157.0,49.0,18352.74,794.55,17558.19
22633,HAND WARMER UNION JACK,8541.0,39.0,17576.67,81.9,17494.77
84467,ENGLISH ROSE DESIGN QUILTED THROW,816.0,2.0,17477.66,79.9,17397.76
20718,RED SPOTTY SHOPPER BAG,13353.0,58.0,17457.35,71.74,17385.61
22297,HEART IVORY TRELLIS SMALL,13715.0,275.0,17702.62,343.75,17358.87
22557,PLASTERS IN TIN VINTAGE PAISLEY,10369.0,68.0,17401.3,112.2,17289.1
21136,PAINTED METAL PEARS ASSORTED,10496.0,225.0,17451.45,329.37,17122.08
84992,72 SWEETHEART FAIRY CAKE CASES,34797.0,410.0,17259.85,175.33,17084.52
22366,DOORMAT AIRMAIL,2540.0,29.0,17242.3,209.97,17032.33
21889,WOODEN BOX OF DOMINOES,12805.0,155.0,17095.66,193.75,16901.91
21156,RETROSPOT CHILDRENS APRON,9137.0,73.0,17002.28,142.35,16859.93
23240,SET OF 4 KNICK KNACK TINS DOILY,4177.0,50.0,17000.17,206.7,16793.47
22147,FELTCRAFT BUTTERFLY HEARTS,12828.0,904.0,17893.58,1142.8,16750.78
22652,TRAVEL SEWING KIT,9910.0,56.0,16794.05,92.4,16701.65
22654,DELUXE SEWING KIT,2534.0,52.0,16971.27,306.4,16664.87
21535,RETRO SPOT SMALL MILK JUG,6776.0,88.0,16837.0,223.05,16613.95
22273,FELTCRAFT DOLL MOLLY,7355.0,1464.0,20150.99,3562.8,16588.19
21164,HOME SWEET HOME METAL SIGN,5981.0,22.0,16626.41,64.9,16561.51
22993,SET OF 4 PANTRY JELLY MOULDS,12649.0,68.0,16478.48,85.0,16393.48
22776,SWEETHEART CAKESTAND 3 TIER,1708.0,134.0,17530.46,1230.35,16300.11
22837,HOT WATER BOTTLE BABUSHKA LARGE,3534.0,37.0,16455.18,157.65,16297.53
21533,RETROSPOT LARGE MILK JUG,3343.0,80.0,16614.87,375.0,16239.87
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1699.0,20.0,16409.02,170.34,16238.68
23301,GARDENERS KNEELING PAD KEEP CALM,8807.0,114.0,16327.35,168.9,16158.45
22662,LUNCH BAG DOLLY GIRL DESIGN,9951.0,68.0,16213.61,112.2,16101.41
22296,HEART IVORY TRELLIS LARGE,9719.0,8.0,16027.56,13.2,16014.36
22759,SET OF 3 NOTEBOOKS IN PARCEL,9380.0,26.0,15866.56,42.9,15823.66
22193,RED WALL CLOCK,1910.0,39.0,16117.98,319.6,15798.38
35004C,SET OF 3 COLOURED  FLYING DUCKS,3062.0,88.0,16218.1,426.8,15791.3
22690,DOORMAT HOME SWEET HOME BLUE,2530.0,6.0,15836.35,48.3,15788.05
21155,RED SPOTTY PEG BAG,6665.0,263.0,16343.09,562.69,15780.4
22487,WHITE WOOD GARDEN PLANT LADDER,1632.0,70.0,16373.7,635.6,15738.1
23313,VINTAGE CHRISTMAS BUNTING,2990.0,13.0,15798.66,64.35,15734.31
22367,CHILDS APRON SPACEBOY DESIGN,8059.0,51.0,15778.67,99.45,15679.22
84375,SET OF 20 KIDS COOKIE CUTTERS,7575.0,61.0,15753.18,120.9,15632.28
22619,SET OF 6 SOLDIER SKITTLES,4008.0,10.0,15620.09,37.5,15582.59
21891,TRADITIONAL WOODEN SKIPPING ROPE,12142.0,93.0,15547.75,118.07,15429.68
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3759.0,1.0,15354.35,3.75,15350.6
22692,DOORMAT WELCOME TO OUR HOME,2135.0,143.0,15965.95,665.05,15300.9
84378,SET OF 3 HEART COOKIE CUTTERS,11637.0,93.0,15388.44,116.06,15272.38
22365,DOORMAT RESPECTABLE HOUSE,2329.0,3.0,15289.79,22.65,15267.14
21844,RETRO SPOT MUG,5374.0,48.0,15329.44,141.2,15188.24
21975,PACK OF 60 DINOSAUR CAKE CASES,31332.0,95.0,15236.62,49.26,15187.36
22940,FELTCRAFT CHRISTMAS FAIRY,3491.0,39.0,15282.81,120.75,15162.06
21165,BEWARE OF THE CAT METAL SIGN,9360.0,51.0,15167.38,82.59,15084.79
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2385.0,90.0,15645.27,581.9,15063.37
22634,CHILDS BREAKFAST SET SPACEBOY,1688.0,94.0,15946.55,906.3,15040.25
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,5026.0,146.0,15411.9,399.72,15012.18
35970,ZINC FOLKART SLEIGH BELLS,8375.0,74.0,15072.58,122.86,14949.72
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,17144.0,470.0,15275.82,334.22,14941.6
82582,AREA PATROLLED METAL SIGN,7479.0,129.0,15110.98,241.38,14869.6
21094,SET/6 RED SPOTTY PAPER PLATES,19633.0,762.0,15334.03,495.24,14838.79
21877,HOME SWEET HOME MUG,14054.0,1086.0,15954.75,1176.82,14777.93
21122,SET/10 PINK SPOTTY PARTY CANDLES,12209.0,73.0,14844.78,91.25,14753.53
22635,CHILDS BREAKFAST SET DOLLY GIRL,1660.0,124.0,15795.01,1113.45,14681.56
22946,WOODEN ADVENT CALENDAR CREAM,976.0,26.0,15060.57,390.3,14670.27
22730,ALARM CLOCK BAKELIKE IVORY,3702.0,58.0,14867.27,217.5,14649.77
21770,OPEN CLOSED METAL SIGN,2991.0,48.0,14807.3,212.4,14594.9
17003,BROCADE RING PURSE,70369.0,740.0,14766.42,215.78,14550.64
