customer_id,first_purchase_at,last_purchase_at,sales_orders,return_orders,gross_sales,returns_value,net_revenue,recency_days,frequency,monetary,r_score,f_score,m_score,segment
13902,2009-12-15 10:02:00,2010-03-17 13:09:00,5,3,34095.26,3684.0,30411.26,632,5,30411.26,1,4,5,高价值流失风险
12681,2009-12-13 13:31:00,2011-11-25 11:33:00,45,11,29834.76,316.52,29518.24,14,45,29518.24,5,5,5,高价值活跃
12709,2009-12-09 13:49:00,2011-11-24 15:38:00,34,21,30291.76,780.73,29511.03,15,34,29511.03,5,5,5,高价值活跃
14606,2009-12-03 12:40:00,2011-12-08 19:28:00,192,67,29951.37,753.78,29197.59,1,192,29197.59,5,5,5,高价值活跃
13098,2011-01-26 13:46:00,2011-12-08 14:14:00,28,13,28882.44,223.56,28658.88,1,28,28658.88,5,5,5,高价值活跃
13078,2009-12-01 09:06:00,2011-12-06 15:36:00,57,38,29018.06,648.62,28369.44,3,57,28369.44,5,5,5,高价值活跃
17857,2010-03-08 12:09:00,2011-12-05 13:13:00,24,2,27347.04,115.7,27231.34,4,24,27231.34,5,5,5,高价值活跃
17940,2009-12-03 12:31:00,2011-10-21 13:27:00,16,6,30306.79,3433.17,26873.62,49,16,26873.62,4,5,5,高价值活跃
16333,2011-02-03 10:50:00,2011-12-02 12:19:00,22,0,26626.8,0.0,26626.8,7,22,26626.8,5,5,5,高价值活跃
18251,2009-12-22 12:01:00,2011-09-13 15:03:00,9,0,26278.86,0.0,26278.86,87,9,26278.86,3,5,5,忠诚客户
15513,2010-01-13 14:59:00,2011-11-06 14:36:00,35,6,26437.05,486.1,25950.95,33,35,25950.95,4,5,5,高价值活跃
12731,2010-03-02 09:23:00,2011-11-16 11:59:00,17,2,25775.71,102.5,25673.21,23,17,25673.21,4,5,5,高价值活跃
17865,2009-12-01 10:49:00,2011-11-09 12:08:00,46,16,26312.19,725.34,25586.85,30,46,25586.85,4,5,5,高价值活跃
13802,2010-02-16 10:11:00,2011-07-24 10:54:00,19,5,26259.11,767.55,25491.56,138,19,25491.56,3,5,5,忠诚客户
14062,2009-12-10 14:28:00,2011-11-30 10:04:00,24,3,25585.65,169.37,25416.28,9,24,25416.28,5,5,5,高价值活跃
14527,2009-12-02 12:06:00,2011-12-07 12:19:00,122,68,27246.88,1960.97,25285.91,2,122,25285.91,5,5,5,高价值活跃
12939,2010-01-12 11:27:00,2011-10-06 14:33:00,20,0,25264.8,0.0,25264.8,64,20,25264.8,3,5,5,忠诚客户
14895,2009-12-10 14:22:00,2011-12-02 09:23:00,38,10,25119.54,630.72,24488.82,7,38,24488.82,5,5,5,高价值活跃
12621,2010-02-09 12:01:00,2011-12-08 11:25:00,35,9,24311.2,196.5,24114.7,1,35,24114.7,5,5,5,高价值活跃
13001,2009-12-03 16:21:00,2011-12-05 14:51:00,33,4,24042.65,36.05,24006.6,4,33,24006.6,5,5,5,高价值活跃
17920,2009-12-06 10:37:00,2011-12-05 14:29:00,54,2,23581.78,6.55,23575.23,4,54,23575.23,5,5,5,高价值活跃
15640,2009-12-14 16:36:00,2011-12-05 14:35:00,29,5,23494.31,119.22,23375.09,4,29,23375.09,5,5,5,高价值活跃
12409,2010-05-23 15:21:00,2011-09-22 10:38:00,7,6,23419.29,328.82,23090.47,78,7,23090.47,3,4,5,忠诚客户
15498,2009-12-16 17:27:00,2011-12-07 12:48:00,44,11,24972.86,1897.77,23075.09,2,44,23075.09,5,5,5,高价值活跃
16525,2009-12-02 13:53:00,2011-12-07 15:07:00,48,6,24151.3,1231.9,22919.4,2,48,22919.4,5,5,5,高价值活跃
12682,2009-12-01 09:28:00,2011-12-06 10:00:00,52,1,22950.22,88.1,22862.12,3,52,22862.12,5,5,5,高价值活跃
16133,2010-03-31 12:21:00,2011-12-06 11:24:00,56,22,22992.26,763.38,22228.88,3,56,22228.88,5,5,5,高价值活跃
12540,2009-12-07 16:56:00,2011-11-20 11:31:00,33,3,22254.49,147.2,22107.29,19,33,22107.29,5,5,5,高价值活跃
13340,2010-02-22 14:54:00,2011-10-25 13:15:00,12,0,22100.56,0.0,22100.56,45,12,22100.56,4,5,5,高价值活跃
15159,2010-10-04 09:31:00,2011-12-08 12:05:00,34,4,22116.73,67.33,22049.4,1,34,22049.4,5,5,5,高价值活跃
12482,2010-02-24 10:24:00,2010-05-12 16:51:00,29,3,23691.4,1797.87,21893.53,576,29,21893.53,1,5,5,高价值流失风险
15749,2011-01-11 12:55:00,2011-04-18 13:20:00,3,1,44534.3,22998.4,21535.9,235,3,21535.9,2,3,5,高价值流失风险
14051,2009-12-03 11:53:00,2011-12-09 10:20:00,37,5,21770.98,329.5,21441.48,0,37,21441.48,5,5,5,高价值活跃
15615,2009-12-02 15:28:00,2011-11-29 14:42:00,47,7,21373.97,91.9,21282.07,10,47,21282.07,5,5,5,高价值活跃
12753,2010-12-12 11:44:00,2011-11-17 10:52:00,6,5,21429.39,405.38,21024.01,22,6,21024.01,4,4,5,高价值活跃
13319,2009-12-06 14:46:00,2011-12-04 13:34:00,58,20,21323.22,348.26,20974.96,5,58,20974.96,5,5,5,高价值活跃
14866,2010-08-26 11:54:00,2011-11-29 11:45:00,19,1,20746.54,192.45,20554.09,10,19,20554.09,5,5,5,高价值活跃
16839,2010-02-11 15:02:00,2011-12-01 09:03:00,44,7,21758.25,1342.22,20416.03,8,44,20416.03,5,5,5,高价值活跃
14667,2009-12-02 12:38:00,2011-11-29 11:30:00,54,7,20395.34,206.55,20188.79,10,54,20188.79,5,5,5,高价值活跃
12477,2010-03-26 14:01:00,2011-11-17 09:51:00,9,3,20276.37,102.73,20173.64,22,9,20173.64,4,5,5,高价值活跃
15251,2010-01-29 12:42:00,2011-11-30 15:02:00,21,10,20324.54,228.94,20095.6,9,21,20095.6,5,5,5,高价值活跃
17243,2009-12-01 15:36:00,2011-12-08 13:26:00,69,11,20203.58,180.65,20022.93,1,69,20022.93,5,5,5,高价值活跃
18008,2010-01-06 12:35:00,2011-09-30 15:17:00,23,0,19759.08,0.0,19759.08,70,23,19759.08,3,5,5,忠诚客户
16843,2009-12-10 11:40:00,2011-10-28 09:06:00,35,3,19571.43,42.65,19528.78,42,35,19528.78,4,5,5,高价值活跃
17139,2010-01-11 11:31:00,2011-11-24 10:12:00,25,4,19566.76,92.85,19473.91,15,25,19473.91,5,5,5,高价值活跃
17706,2010-01-19 12:13:00,2011-12-05 13:34:00,31,12,20272.15,1206.08,19066.07,4,31,19066.07,5,5,5,高价值活跃
17340,2010-02-14 14:54:00,2011-11-10 10:45:00,18,12,19617.95,726.06,18891.89,29,18,18891.89,4,5,5,高价值活跃
14194,2010-01-06 12:16:00,2011-12-05 10:38:00,36,18,18670.59,227.72,18442.87,4,36,18442.87,5,5,5,高价值活跃
14607,2009-12-15 11:25:00,2011-11-24 10:35:00,22,5,23763.13,5392.07,18371.06,15,22,18371.06,5,5,5,高价值活跃
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,3,0,18287.66,0.0,18287.66,33,3,18287.66,4,3,5,潜力客户
12557,2009-12-17 10:39:00,2011-11-23 16:59:00,8,0,18096.14,0.0,18096.14,16,8,18096.14,5,4,5,高价值活跃
16746,2009-12-04 13:00:00,2011-12-05 12:33:00,42,4,18046.75,34.55,18012.2,4,42,18012.2,5,5,5,高价值活跃
17581,2009-12-03 12:34:00,2011-12-09 12:21:00,43,10,17951.17,510.28,17440.89,0,43,17440.89,5,5,5,高价值活跃
14952,2009-12-03 15:34:00,2011-10-11 10:33:00,32,11,17629.35,282.1,17347.25,59,32,17347.25,3,5,5,忠诚客户
16652,2010-03-17 10:22:00,2011-10-12 09:38:00,16,8,17550.39,237.56,17312.83,58,16,17312.83,4,5,5,高价值活跃
18172,2009-12-11 09:58:00,2011-11-25 11:12:00,52,11,17467.24,178.01,17289.23,14,52,17289.23,5,5,5,高价值活跃
17416,2009-12-14 16:29:00,2011-11-10 12:47:00,22,3,17298.45,76.98,17221.47,29,22,17221.47,4,5,5,高价值活跃
17377,2009-12-02 12:39:00,2011-11-16 11:17:00,78,13,17644.27,468.0,17176.27,23,78,17176.27,4,5,5,高价值活跃
15523,2009-12-02 15:16:00,2011-09-16 16:29:00,16,2,17259.19,139.95,17119.24,84,16,17119.24,3,5,5,忠诚客户
15078,2009-12-04 12:03:00,2011-12-02 15:41:00,53,11,17286.73,185.36,17101.37,7,53,17101.37,5,5,5,高价值活跃
15189,2010-07-18 13:37:00,2011-12-08 13:22:00,46,12,17524.38,423.25,17101.13,1,46,17101.13,5,5,5,高价值活跃
13027,2010-01-20 10:41:00,2011-08-18 09:39:00,19,4,17239.2,187.2,17052.0,113,19,17052.0,3,5,5,忠诚客户
15808,2009-12-01 16:30:00,2011-02-06 14:33:00,21,3,17180.25,141.3,17038.95,306,21,17038.95,2,5,5,高价值流失风险
12647,2010-01-13 15:06:00,2011-11-17 12:56:00,36,9,16955.55,241.56,16713.99,22,36,16713.99,4,5,5,高价值活跃
17735,2010-07-30 13:25:00,2011-12-07 16:47:00,26,3,16790.33,82.35,16707.98,2,26,16707.98,5,5,5,高价值活跃
12433,2010-08-20 09:23:00,2011-12-09 10:02:00,10,1,16794.14,152.4,16641.74,0,10,16641.74,5,5,5,高价值活跃
16019,2009-12-14 14:12:00,2011-10-24 11:51:00,27,8,17329.16,825.7,16503.46,46,27,16503.46,4,5,5,高价值活跃
16553,2010-02-11 18:46:00,2011-06-29 15:42:00,33,3,16584.01,83.89,16500.12,163,33,16500.12,3,5,5,忠诚客户
14961,2009-12-04 11:32:00,2011-11-29 09:42:00,22,6,16410.15,81.25,16328.9,10,22,16328.9,5,5,5,高价值活跃
16656,2009-12-04 12:59:00,2011-11-17 14:43:00,30,14,16833.17,525.45,16307.72,22,30,16307.72,4,5,5,高价值活跃
12901,2011-03-14 10:41:00,2011-12-01 10:07:00,28,8,17654.54,1361.44,16293.1,8,28,16293.1,5,5,5,高价值活跃
13113,2010-03-28 16:13:00,2011-12-09 12:49:00,37,23,18230.07,1993.63,16236.44,0,37,16236.44,5,5,5,高价值活跃
15358,2009-12-07 12:19:00,2011-12-05 09:04:00,42,13,16425.86,212.21,16213.65,4,42,16213.65,5,5,5,高价值活跃
16180,2010-06-23 13:19:00,2011-08-31 16:28:00,13,3,16249.87,79.6,16170.27,100,13,16170.27,3,5,5,忠诚客户
15125,2010-03-31 13:29:00,2011-11-14 13:57:00,24,12,17024.87,900.54,16124.33,25,24,16124.33,4,5,5,高价值活跃
13199,2009-12-05 10:11:00,2011-12-06 12:30:00,67,2,15964.21,27.91,15936.3,3,67,15936.3,5,5,5,高价值活跃
12980,2009-12-02 11:26:00,2011-07-05 09:34:00,21,5,16245.78,336.39,15909.39,157,21,15909.39,3,5,5,忠诚客户
13225,2009-12-17 09:09:00,2011-12-06 13:29:00,16,1,16260.07,380.8,15879.27,3,16,15879.27,5,5,5,高价值活跃
17716,2009-12-02 17:18:00,2011-11-17 12:00:00,24,3,15956.97,285.65,15671.32,22,24,15671.32,4,5,5,高价值活跃
15044,2009-12-16 15:13:00,2011-11-20 13:20:00,35,12,16024.15,362.8,15661.35,19,35,15661.35,5,5,5,高价值活跃
17107,2010-01-31 15:47:00,2011-11-06 14:14:00,10,3,16052.72,457.35,15595.37,33,10,15595.37,4,5,5,高价值活跃
12472,2009-12-14 10:49:00,2011-11-07 14:01:00,19,18,16249.29,801.6,15447.69,32,19,15447.69,4,5,5,高价值活跃
14769,2009-12-16 09:17:00,2011-12-07 10:24:00,17,4,15514.11,75.21,15438.9,2,17,15438.9,5,5,5,高价值活跃
12949,2009-12-03 15:56:00,2011-11-09 11:25:00,22,6,15526.7,135.7,15391.0,30,22,15391.0,4,5,5,高价值活跃
15768,2009-12-03 12:10:00,2011-08-16 10:48:00,34,2,15308.89,41.63,15267.26,115,34,15267.26,3,5,5,忠诚客户
12971,2009-12-15 19:04:00,2011-12-06 12:20:00,116,4,15704.6,490.05,15214.55,3,116,15214.55,5,5,5,高价值活跃
14849,2010-01-10 11:40:00,2011-11-18 10:58:00,43,7,15407.61,221.01,15186.6,21,43,15186.6,4,5,5,高价值活跃
16191,2009-12-11 12:24:00,2011-12-07 11:26:00,24,16,15677.82,525.9,15151.92,2,24,15151.92,5,5,5,高价值活跃
13564,2009-12-02 11:55:00,2011-07-18 14:33:00,37,17,16498.97,1462.83,15036.14,144,37,15036.14,3,5,5,忠诚客户
18092,2009-12-04 12:37:00,2011-12-07 13:14:00,18,2,14693.72,6.25,14687.47,2,18,14687.47,5,5,5,高价值活跃
16126,2009-12-02 13:34:00,2011-11-10 16:03:00,15,0,14644.6,0.0,14644.6,29,15,14644.6,4,5,5,高价值活跃
16873,2010-02-09 14:17:00,2011-12-05 12:05:00,12,5,14617.39,70.36,14547.03,4,12,14547.03,5,5,5,高价值活跃
18087,2009-12-01 09:43:00,2011-09-02 15:12:00,17,4,14761.52,349.9,14411.62,98,17,14411.62,3,5,5,忠诚客户
14733,2010-11-02 15:42:00,2011-11-23 15:39:00,15,3,14335.15,134.37,14200.78,16,15,14200.78,5,5,5,高价值活跃
15601,2009-12-01 14:53:00,2011-11-28 15:15:00,30,5,14191.74,40.9,14150.84,11,30,14150.84,5,5,5,高价值活跃
13488,2010-01-25 10:13:00,2011-11-22 14:41:00,23,6,14205.96,74.15,14131.81,17,23,14131.81,5,5,5,高价值活跃
12714,2009-12-04 10:00:00,2011-11-30 15:43:00,12,0,14093.71,0.0,14093.71,9,12,14093.71,5,5,5,高价值活跃
13178,2009-12-16 14:00:00,2011-11-13 16:14:00,21,4,14059.19,61.3,13997.89,26,21,13997.89,4,5,5,高价值活跃
16713,2009-12-15 12:49:00,2011-11-21 12:36:00,32,9,14115.56,172.2,13943.36,18,32,13943.36,5,5,5,高价值活跃
12435,2009-12-02 13:58:00,2011-09-21 09:06:00,6,0,13925.93,0.0,13925.93,79,6,13925.93,3,4,5,忠诚客户
17589,2010-03-07 13:48:00,2011-10-10 16:58:00,18,3,13837.94,145.05,13692.89,60,18,13692.89,3,5,5,忠诚客户
12476,2010-07-26 09:04:00,2011-11-24 12:40:00,23,15,14083.91,399.79,13684.12,15,23,13684.12,5,5,5,高价值活跃
15382,2009-12-04 14:13:00,2011-11-25 10:58:00,12,8,13733.55,87.05,13646.5,14,12,13646.5,5,5,5,高价值活跃
18223,2009-12-04 12:20:00,2011-12-05 09:11:00,26,26,14000.85,503.27,13497.58,4,26,13497.58,5,5,5,高价值活跃
12583,2009-12-06 11:57:00,2011-12-07 08:07:00,27,4,13591.58,102.54,13489.04,2,27,13489.04,5,5,5,高价值活跃
15005,2009-12-01 14:19:00,2011-11-24 12:25:00,56,20,13754.58,341.68,13412.9,15,56,13412.9,5,5,5,高价值活跃
13629,2010-02-11 17:34:00,2011-11-16 13:21:00,19,0,13370.86,0.0,13370.86,23,19,13370.86,4,5,5,高价值活跃
12744,2010-04-27 16:19:00,2011-10-19 11:18:00,11,3,25317.06,12158.9,13158.16,51,11,13158.16,4,5,5,高价值活跃
16558,2009-12-03 18:11:00,2011-12-09 10:20:00,38,9,13304.11,154.55,13149.56,0,38,13149.56,5,5,5,高价值活跃
15291,2009-12-03 11:09:00,2011-11-14 11:02:00,40,13,13517.76,395.32,13122.44,25,40,13122.44,4,5,5,高价值活跃
15093,2009-12-08 12:46:00,2011-11-21 13:09:00,23,11,13702.38,668.23,13034.15,18,23,13034.15,5,5,5,高价值活跃
15738,2009-12-10 15:52:00,2011-11-21 08:26:00,41,4,13043.32,27.9,13015.42,18,41,13015.42,5,5,5,高价值活跃
17133,2010-03-21 12:31:00,2011-11-24 12:27:00,12,1,14622.33,1650.24,12972.09,15,12,12972.09,5,5,5,高价值活跃
14110,2009-12-01 09:50:00,2011-12-06 12:26:00,33,2,12987.95,30.35,12957.6,3,33,12957.6,5,5,5,高价值活跃
14049,2010-04-01 14:52:00,2011-11-23 12:20:00,13,5,13023.4,175.0,12848.4,16,13,12848.4,5,5,5,高价值活跃
12989,2009-12-10 13:27:00,2011-12-06 15:28:00,33,6,13551.75,704.95,12846.8,3,33,12846.8,5,5,5,高价值活跃
13969,2010-03-25 13:15:00,2011-12-02 15:11:00,35,4,12973.46,153.1,12820.36,7,35,12820.36,5,5,5,高价值活跃
13097,2009-12-01 13:31:00,2011-11-07 10:43:00,28,12,13324.1,527.49,12796.61,32,28,12796.61,4,5,5,高价值活跃
13952,2009-12-16 09:41:00,2011-05-06 09:00:00,14,3,12823.521,32.63,12790.891,217,14,12790.891,2,5,5,高价值流失风险
13090,2010-08-02 13:58:00,2011-12-01 12:39:00,24,6,13091.74,331.81,12759.93,8,24,12759.93,5,5,5,高价值活跃
16549,2010-03-28 15:45:00,2011-11-29 15:06:00,34,3,12781.8,22.55,12759.25,10,34,12759.25,5,5,5,高价值活跃
13316,2010-03-10 10:01:00,2011-11-02 13:40:00,10,2,12940.82,284.64,12656.18,37,10,12656.18,4,5,5,高价值活跃
18225,2009-12-04 16:52:00,2011-12-06 13:27:00,26,8,13014.8,371.55,12643.25,3,26,12643.25,5,5,5,高价值活跃
13668,2009-12-11 14:28:00,2011-12-07 12:11:00,35,12,12948.48,340.8,12607.68,2,35,12607.68,5,5,5,高价值活跃
14299,2009-12-02 10:58:00,2011-12-01 16:05:00,27,14,14070.25,1462.72,12607.53,8,27,12607.53,5,5,5,高价值活跃
16923,2010-01-31 11:14:00,2011-11-27 13:00:00,32,9,13157.13,584.98,12572.15,12,32,12572.15,5,5,5,高价值活跃
12451,2010-06-28 12:58:00,2011-11-29 08:40:00,8,2,12669.88,123.35,12546.53,10,8,12546.53,5,4,5,高价值活跃
13468,2009-12-03 13:32:00,2011-12-08 10:39:00,72,15,12793.28,298.9,12494.38,1,72,12494.38,5,5,5,高价值活跃
17858,2009-12-06 15:41:00,2011-12-04 11:56:00,30,2,12518.65,74.35,12444.3,5,30,12444.3,5,5,5,高价值活跃
12437,2009-12-02 16:24:00,2011-12-08 11:35:00,39,8,12683.4,288.55,12394.85,1,39,12394.85,5,5,5,高价值活跃
16000,2011-12-07 12:14:00,2011-12-07 12:17:00,3,0,12393.7,0.0,12393.7,2,3,12393.7,5,3,5,潜力客户
14936,2010-05-05 12:26:00,2011-11-06 10:30:00,12,2,12410.81,32.35,12378.46,33,12,12378.46,4,5,5,高价值活跃
14040,2009-12-01 12:14:00,2011-10-30 12:42:00,35,7,12523.81,187.73,12336.08,40,35,12336.08,4,5,5,高价值活跃
16161,2010-02-08 11:06:00,2011-12-08 12:10:00,43,14,12580.06,343.84,12236.22,1,43,12236.22,5,5,5,高价值活跃
12481,2010-04-11 13:10:00,2011-11-17 08:29:00,15,3,12185.51,144.36,12041.15,22,15,12041.15,4,5,5,高价值活跃
15144,2009-12-13 11:35:00,2011-12-01 15:12:00,29,4,12160.31,153.8,12006.51,8,29,12006.51,5,5,5,高价值活跃
12474,2010-02-11 09:41:00,2011-11-22 14:39:00,31,23,12372.75,424.0,11948.75,17,31,11948.75,5,5,5,高价值活跃
16814,2010-04-11 12:45:00,2011-11-25 13:27:00,36,1,11924.85,8.5,11916.35,14,36,11916.35,5,5,5,高价值活跃
14735,2009-12-04 11:32:00,2011-12-06 12:09:00,56,3,12240.16,330.45,11909.71,3,56,11909.71,5,5,5,高价值活跃
14543,2009-12-01 13:47:00,2011-11-11 12:45:00,39,11,14587.87,2682.16,11905.71,28,39,11905.71,4,5,5,高价值活跃
13687,2010-09-27 16:30:00,2010-09-27 16:30:00,1,0,11880.84,0.0,11880.84,438,1,11880.84,1,1,5,沉睡/低频
17044,2009-12-07 12:25:00,2011-11-14 14:28:00,12,4,11962.3,94.7,11867.6,25,12,11867.6,4,5,5,高价值活跃
13458,2010-11-16 14:01:00,2011-12-02 15:29:00,16,8,11959.27,108.65,11850.62,7,16,11850.62,5,5,5,高价值活跃
13854,2010-01-08 11:28:00,2011-12-01 09:06:00,39,6,11944.56,95.75,11848.81,8,39,11848.81,5,5,5,高价值活跃
16258,2010-03-10 14:19:00,2011-10-25 13:30:00,15,1,11942.52,109.0,11833.52,45,15,11833.52,4,5,5,高价值活跃
14415,2009-12-16 14:08:00,2011-12-08 14:38:00,23,9,11980.09,176.47,11803.62,1,23,11803.62,5,5,5,高价值活跃
17338,2010-03-10 16:09:00,2011-11-22 14:23:00,17,3,11889.33,106.0,11783.33,17,17,11783.33,5,5,5,高价值活跃
15194,2009-12-03 10:37:00,2011-12-06 15:10:00,28,11,12021.53,240.01,11781.52,3,28,11781.52,5,5,5,高价值活跃
16523,2010-01-24 13:14:00,2011-12-08 09:06:00,28,11,11916.33,155.79,11760.54,1,28,11760.54,5,5,5,高价值活跃
