line_id,invoice_id,stock_code,description,quantity,invoice_at,unit_price,customer_id,country,line_amount,transaction_type,is_service_line
1067275,581579,23353,6 GIFT TAGS VINTAGE CHRISTMAS,12,2011-12-09 12:19:00,0.83,17581.0,United Kingdom,9.96,sale,0
1067274,581579,23199,JUMBO BAG APPLES,30,2011-12-09 12:19:00,1.79,17581.0,United Kingdom,53.7,sale,0
1067273,581579,21931,JUMBO STORAGE BAG SUKI,10,2011-12-09 12:19:00,1.79,17581.0,United Kingdom,17.9,sale,0
1067272,581579,20713,JUMBO BAG OWLS,10,2011-12-09 12:19:00,1.79,17581.0,United Kingdom,17.9,sale,0
1067271,581579,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2011-12-09 12:19:00,1.79,17581.0,United Kingdom,17.9,sale,0
1067270,581579,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2011-12-09 12:19:00,1.79,17581.0,United Kingdom,17.9,sale,0
1067269,581579,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2011-12-09 12:19:00,1.79,17581.0,United Kingdom,17.9,sale,0
1067268,581579,22386,JUMBO BAG PINK POLKADOT,10,2011-12-09 12:19:00,1.79,17581.0,United Kingdom,17.9,sale,0
1067267,581578,22736,RIBBON REEL MAKING SNOWMEN,10,2011-12-09 12:16:00,1.65,12713.0,Germany,16.5,sale,0
1067266,581578,23215,JINGLE BELL HEART ANTIQUE SILVER,12,2011-12-09 12:16:00,2.08,12713.0,Germany,24.96,sale,0
1067265,581578,22908,PACK OF 20 NAPKINS RED APPLES,12,2011-12-09 12:16:00,0.85,12713.0,Germany,10.2,sale,0
1067264,581578,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2011-12-09 12:16:00,0.85,12713.0,Germany,10.2,sale,0
1067263,581578,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-12-09 12:16:00,1.25,12713.0,Germany,15.0,sale,0
1067262,581578,23298,SPOTTY BUNTING,9,2011-12-09 12:16:00,4.95,12713.0,Germany,44.55,sale,0
1067261,581578,22080,RIBBON REEL POLKADOTS,10,2011-12-09 12:16:00,1.65,12713.0,Germany,16.5,sale,0
1067260,581578,22081,RIBBON REEL FLORA + FAUNA,10,2011-12-09 12:16:00,1.65,12713.0,Germany,16.5,sale,0
1067259,581578,23515,EMBROIDERED RIBBON REEL DAISY,6,2011-12-09 12:16:00,2.08,12713.0,Germany,12.48,sale,0
1067258,581578,23201,JUMBO BAG ALPHABET,10,2011-12-09 12:16:00,2.08,12713.0,Germany,20.8,sale,0
1067257,581578,23205,CHARLOTTE BAG VINTAGE ALPHABET,10,2011-12-09 12:16:00,0.85,12713.0,Germany,8.5,sale,0
1067256,581578,22585,PACK OF 6 BIRDY GIFT TAGS,12,2011-12-09 12:16:00,1.25,12713.0,Germany,15.0,sale,0
1067255,581578,22704,WRAP RED APPLES,25,2011-12-09 12:16:00,0.42,12713.0,Germany,10.5,sale,0
1067254,581578,21497,FANCY FONTS BIRTHDAY WRAP,25,2011-12-09 12:16:00,0.42,12713.0,Germany,10.5,sale,0
1067253,581578,22711,WRAP CIRCUS PARADE,25,2011-12-09 12:16:00,0.42,12713.0,Germany,10.5,sale,0
1067252,581578,23550,WRAP ALPHABET POSTER,25,2011-12-09 12:16:00,0.42,12713.0,Germany,10.5,sale,0
1067251,581578,23037,CANDLE HOLDER SILVER MADELINE,12,2011-12-09 12:16:00,1.65,12713.0,Germany,19.8,sale,0
1067250,581578,21507,ELEPHANT BIRTHDAY CARD,12,2011-12-09 12:16:00,0.42,12713.0,Germany,5.04,sale,0
1067249,581578,21506,"FANCY FONT BIRTHDAY CARD,",12,2011-12-09 12:16:00,0.42,12713.0,Germany,5.04,sale,0
1067248,581578,22622,BOX OF VINTAGE ALPHABET BLOCKS,6,2011-12-09 12:16:00,11.95,12713.0,Germany,71.7,sale,0
1067247,581578,23229,VINTAGE DONKEY TAIL GAME,6,2011-12-09 12:16:00,3.75,12713.0,Germany,22.5,sale,0
1067246,581578,22991,GIRAFFE WOODEN RULER,12,2011-12-09 12:16:00,1.95,12713.0,Germany,23.4,sale,0
1067245,581578,22992,REVOLVER WOODEN RULER,12,2011-12-09 12:16:00,1.95,12713.0,Germany,23.4,sale,0
1067244,581578,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,2011-12-09 12:16:00,0.42,12713.0,Germany,10.08,sale,0
1067243,581578,22549,PICTURE DOMINOES,24,2011-12-09 12:16:00,1.45,12713.0,Germany,34.8,sale,0
1067242,581578,21914,BLUE HARMONICA IN BOX,12,2011-12-09 12:16:00,1.25,12713.0,Germany,15.0,sale,0
1067241,581578,22555,PLASTERS IN TIN STRONGMAN,12,2011-12-09 12:16:00,1.65,12713.0,Germany,19.8,sale,0
1067240,581578,84997C,CHILDRENS CUTLERY POLKADOT BLUE,8,2011-12-09 12:16:00,4.15,12713.0,Germany,33.2,sale,0
1067239,581578,84997B,CHILDRENS CUTLERY RETROSPOT RED,8,2011-12-09 12:16:00,4.15,12713.0,Germany,33.2,sale,0
1067238,581578,84997D,CHILDRENS CUTLERY POLKADOT PINK,8,2011-12-09 12:16:00,4.15,12713.0,Germany,33.2,sale,0
1067237,581578,23255,CHILDRENS CUTLERY CIRCUS PARADE,12,2011-12-09 12:16:00,4.15,12713.0,Germany,49.8,sale,0
1067236,581578,22976,CIRCUS PARADE CHILDRENS EGG CUP,12,2011-12-09 12:16:00,1.25,12713.0,Germany,15.0,sale,0
1067235,581578,22556,PLASTERS IN TIN CIRCUS PARADE,12,2011-12-09 12:16:00,1.65,12713.0,Germany,19.8,sale,0
1067234,581578,23389,SPACEBOY MINI BACKPACK,4,2011-12-09 12:16:00,4.15,12713.0,Germany,16.6,sale,0
1067233,581578,21121,SET/10 RED POLKADOT PARTY CANDLES,24,2011-12-09 12:16:00,1.25,12713.0,Germany,30.0,sale,0
1067232,581578,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,2011-12-09 12:16:00,1.25,12713.0,Germany,30.0,sale,0
1067231,581578,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,2011-12-09 12:16:00,1.25,12713.0,Germany,30.0,sale,0
1067230,581578,POST,POSTAGE,3,2011-12-09 12:16:00,18.0,12713.0,Germany,54.0,sale,1
1067229,581574,POST,POSTAGE,2,2011-12-09 12:09:00,18.0,12526.0,Germany,36.0,sale,1
1067228,581574,22621,TRADITIONAL KNITTING NANCY,12,2011-12-09 12:09:00,1.65,12526.0,Germany,19.8,sale,0
1067227,581574,22074,6 RIBBONS SHIMMERING PINKS,12,2011-12-09 12:09:00,0.39,12526.0,Germany,4.68,sale,0
1067226,581574,22077,6 RIBBONS RUSTIC CHARM,12,2011-12-09 12:09:00,1.95,12526.0,Germany,23.4,sale,0
1067225,581574,23111,PARISIENNE SEWING BOX,2,2011-12-09 12:09:00,12.5,12526.0,Germany,25.0,sale,0
1067224,581574,21258,VICTORIAN SEWING BOX LARGE,2,2011-12-09 12:09:00,12.75,12526.0,Germany,25.5,sale,0
1067223,581574,21257,VICTORIAN SEWING BOX MEDIUM,2,2011-12-09 12:09:00,7.95,12526.0,Germany,15.9,sale,0
1067222,581574,23237,SET OF 4 KNICK KNACK TINS LEAF,6,2011-12-09 12:09:00,4.15,12526.0,Germany,24.9,sale,0
1067221,581574,23238,SET OF 4 KNICK KNACK TINS LONDON,6,2011-12-09 12:09:00,4.15,12526.0,Germany,24.9,sale,0
1067220,581574,23581,JUMBO BAG PAISLEY PARK,10,2011-12-09 12:09:00,2.08,12526.0,Germany,20.8,sale,0
1067219,581574,23199,JUMBO BAG APPLES,10,2011-12-09 12:09:00,2.08,12526.0,Germany,20.8,sale,0
1067218,581574,22328,ROUND SNACK BOXES SET OF 4 FRUITS,6,2011-12-09 12:09:00,2.95,12526.0,Germany,17.7,sale,0
1067217,581574,22326,ROUND SNACK BOXES SET OF4 WOODLAND,6,2011-12-09 12:09:00,2.95,12526.0,Germany,17.7,sale,0
1067216,581572,23245,SET OF 3 REGENCY CAKE TINS,4,2011-12-09 12:08:00,4.95,16705.0,United Kingdom,19.8,sale,0
1067215,581572,22624,IVORY KITCHEN SCALES,4,2011-12-09 12:08:00,8.5,16705.0,United Kingdom,34.0,sale,0
1067214,581572,22627,MINT KITCHEN SCALES,4,2011-12-09 12:08:00,8.5,16705.0,United Kingdom,34.0,sale,0
1067213,581572,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,48,2011-12-09 12:08:00,3.39,16705.0,United Kingdom,162.72,sale,0
1067212,581571,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,24,2011-12-09 12:00:00,2.55,15311.0,United Kingdom,61.2,sale,0
1067211,581571,44234,ASSORTED CIRCULAR MOBILE,1,2011-12-09 12:00:00,0.21,15311.0,United Kingdom,0.21,sale,0
1067210,581571,21137,BLACK RECORD COVER FRAME,24,2011-12-09 12:00:00,3.39,15311.0,United Kingdom,81.36,sale,0
1067209,581571,21314,SMALL GLASS HEART TRINKET POT,48,2011-12-09 12:00:00,1.85,15311.0,United Kingdom,88.8,sale,0
1067208,581571,23167,SMALL CERAMIC TOP STORAGE JAR,96,2011-12-09 12:00:00,0.69,15311.0,United Kingdom,66.24,sale,0
1067207,581571,23168,CLASSIC CAFE SUGAR DISPENSER,36,2011-12-09 12:00:00,1.04,15311.0,United Kingdom,37.44,sale,0
1067206,581571,21258,VICTORIAN SEWING BOX LARGE,8,2011-12-09 12:00:00,10.95,15311.0,United Kingdom,87.6,sale,0
1067205,581571,21169,YOU'RE CONFUSING ME METAL SIGN,1,2011-12-09 12:00:00,1.69,15311.0,United Kingdom,1.69,sale,0
1067204,581571,23110,PARISIENNE KEY CABINET,2,2011-12-09 12:00:00,5.75,15311.0,United Kingdom,11.5,sale,0
1067203,581571,85053,FRENCH ENAMEL CANDLEHOLDER,2,2011-12-09 12:00:00,2.1,15311.0,United Kingdom,4.2,sale,0
1067202,581571,21755,LOVE BUILDING BLOCK WORD,1,2011-12-09 12:00:00,6.25,15311.0,United Kingdom,6.25,sale,0
1067201,581571,23182,TOILET SIGN OCCUPIED OR VACANT,1,2011-12-09 12:00:00,0.83,15311.0,United Kingdom,0.83,sale,0
1067200,581571,22794,SWEETHEART WIRE MAGAZINE RACK,1,2011-12-09 12:00:00,7.95,15311.0,United Kingdom,7.95,sale,0
1067199,581571,22227,HANGING HEART MIRROR DECORATION,10,2011-12-09 12:00:00,0.65,15311.0,United Kingdom,6.5,sale,0
1067198,581571,21012,ANTIQUE ALL GLASS CANDLESTICK,2,2011-12-09 12:00:00,2.1,15311.0,United Kingdom,4.2,sale,0
1067197,581571,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,4,2011-12-09 12:00:00,1.45,15311.0,United Kingdom,5.8,sale,0
1067196,581571,23317,BLUE REFECTORY CLOCK,1,2011-12-09 12:00:00,9.95,15311.0,United Kingdom,9.95,sale,0
1067195,581571,48187,DOORMAT NEW ENGLAND,1,2011-12-09 12:00:00,8.25,15311.0,United Kingdom,8.25,sale,0
1067194,581571,21313,GLASS HEART T-LIGHT HOLDER,1,2011-12-09 12:00:00,0.85,15311.0,United Kingdom,0.85,sale,0
1067193,581571,23326,HANGING MINI COLOURED BOTTLES,6,2011-12-09 12:00:00,0.63,15311.0,United Kingdom,3.78,sale,0
1067192,581570,POST,POSTAGE,1,2011-12-09 11:59:00,18.0,12662.0,Germany,18.0,sale,1
1067191,581570,22505,MEMO BOARD COTTAGE DESIGN,4,2011-12-09 11:59:00,4.95,12662.0,Germany,19.8,sale,0
1067190,581570,20750,RED RETROSPOT MINI CASES,2,2011-12-09 11:59:00,7.95,12662.0,Germany,15.9,sale,0
1067189,581570,23077,DOUGHNUT LIP GLOSS,20,2011-12-09 11:59:00,1.25,12662.0,Germany,25.0,sale,0
1067188,581570,22139,RETROSPOT TEA SET CERAMIC 11 PC,3,2011-12-09 11:59:00,4.95,12662.0,Germany,14.85,sale,0
1067187,581570,21914,BLUE HARMONICA IN BOX,12,2011-12-09 11:59:00,1.25,12662.0,Germany,15.0,sale,0
1067186,581570,22834,HAND WARMER BABUSHKA DESIGN,12,2011-12-09 11:59:00,2.1,12662.0,Germany,25.2,sale,0
1067185,581570,22331,WOODLAND PARTY BAG + STICKER SET,8,2011-12-09 11:59:00,1.65,12662.0,Germany,13.2,sale,0
1067184,581570,22326,ROUND SNACK BOXES SET OF4 WOODLAND,6,2011-12-09 11:59:00,2.95,12662.0,Germany,17.7,sale,0
1067183,581570,23570,TRADITIONAL PICK UP STICKS GAME,12,2011-12-09 11:59:00,1.25,12662.0,Germany,15.0,sale,0
1067182,581570,21481,FAWN BLUE HOT WATER BOTTLE,4,2011-12-09 11:59:00,3.75,12662.0,Germany,15.0,sale,0
1067181,581570,22175,PINK OWL SOFT TOY,6,2011-12-09 11:59:00,2.95,12662.0,Germany,17.7,sale,0
1067180,581570,22141,CHRISTMAS CRAFT TREE TOP ANGEL,6,2011-12-09 11:59:00,2.1,12662.0,Germany,12.6,sale,0
1067179,C581569,20979,36 PENCILS TUBE RED RETROSPOT,-5,2011-12-09 11:58:00,1.25,17315.0,United Kingdom,-6.25,return,0
1067178,C581569,84978,HANGING HEART JAR T-LIGHT HOLDER,-1,2011-12-09 11:58:00,1.25,17315.0,United Kingdom,-1.25,return,0
1067177,C581568,21258,VICTORIAN SEWING BOX LARGE,-5,2011-12-09 11:57:00,10.95,15311.0,United Kingdom,-54.75,return,0
1067176,581567,21137,BLACK RECORD COVER FRAME,24,2011-12-09 11:56:00,3.39,16626.0,United Kingdom,81.36,sale,0
1067175,581567,23356,LOVE HOT WATER BOTTLE,3,2011-12-09 11:56:00,5.95,16626.0,United Kingdom,17.85,sale,0
1067174,581567,21479,WHITE SKULL HOT WATER BOTTLE,4,2011-12-09 11:56:00,4.25,16626.0,United Kingdom,17.0,sale,0
1067173,581567,21326,AGED GLASS SILVER T-LIGHT HOLDER,144,2011-12-09 11:56:00,0.55,16626.0,United Kingdom,79.2,sale,0
1067172,581567,23355,HOT WATER BOTTLE KEEP CALM,4,2011-12-09 11:56:00,4.95,16626.0,United Kingdom,19.8,sale,0
1067171,581567,22625,RED KITCHEN SCALES,2,2011-12-09 11:56:00,8.5,16626.0,United Kingdom,17.0,sale,0
