country,gross_sales,returns_value,net_revenue,sales_orders,return_orders,known_customers,net_revenue_share,commercial_invoices,return_invoice_share,return_share_low,return_share_high,return_value_rate
Austria,23613.01,435.41,23177.6,45,6,13,0.00121896,51,0.11764705882352941,0.055050736779181736,0.23380844314322466,0.018439411155121693
Greece,19096.19,100.7,18995.49,18,3,5,0.00099902,21,0.14285714285714285,0.04981012499725268,0.34636060280620945,0.005273303208650522
Hong Kong,23685.52,9855.02,13830.5,15,6,0,0.00072738,21,0.2857142857142857,0.1381386295212213,0.49956380716085597,0.4160778399629816
Singapore,25317.06,12158.9,13158.16,11,3,1,0.00069202,14,0.21428571428571427,0.07571386712693184,0.47589230586600295,0.48026508607239543
Israel,11328.81,227.44,11101.37,10,1,4,0.00058385,11,0.09090909090909091,0.016232172885884855,0.37735843645159567,0.02007624807901271
Poland,10654.29,374.36,10279.93,28,10,6,0.00054064,38,0.2631578947368421,0.14971621254798143,0.42008846187466364,0.0351370199234299
United Arab Emirates,11097.63,1148.98,9948.65,16,6,4,0.00052322,22,0.2727272727272727,0.1315076028798947,0.4815173401240238,0.10353381758087088
Unspecified,10927.16,1248.69,9678.47,24,4,7,0.00050901,28,0.14285714285714285,0.05699005319749392,0.31489802163525293,0.11427397420738784
USA,8366.86,2080.32,6286.54,20,5,9,0.00033062,25,0.2,0.08860584686802572,0.3913095036954033,0.24863807927944295
Malta,8099.09,2906.87,5192.22,9,7,2,0.00027307,16,0.4375,0.23098652405492354,0.6682144360118811,0.3589131618490472
Iceland,4921.53,0.0,4921.53,8,0,1,0.00025883,8,0.0,0.0,0.32440756488388023,0.0
Lithuania,4892.68,0.0,4892.68,6,0,1,0.00025732,6,0.0,2.7755575615628914e-17,0.3903342879021653,0.0
Canada,4883.04,0.0,4883.04,8,0,5,0.00025681,8,0.0,0.0,0.32440756488388023,0.0
RSA,4804.32,1435.29,3369.03,4,1,2,0.00017718,5,0.2,0.03622410863243014,0.6244653702374747,0.29874987511239887
Thailand,3070.54,0.0,3070.54,2,0,1,0.00016149,2,0.0,0.0,0.6576197724933469,0.0
Bahrain,3109.79,248.24,2861.55,10,2,2,0.0001505,12,0.16666666666666666,0.04696514218385381,0.4480308622529734,0.07982532582585963
Lebanon,1905.58,39.67,1865.91,2,1,1,9.813e-05,3,0.3333333333333333,0.06149194472039621,0.7923403991979522,0.020817808751141385
Brazil,1411.87,0.0,1411.87,2,0,2,7.425e-05,2,0.0,0.0,0.6576197724933469,0.0
European Community,1300.25,8.5,1291.75,4,1,1,6.794e-05,5,0.2,0.03622410863243014,0.6244653702374747,0.006537204383772351
Bermuda,1253.14,0.0,1253.14,1,0,0,6.591e-05,1,0.0,0.0,0.7934506856227626,0.0
Korea,1118.51,168.69,949.82,2,1,2,4.995e-05,3,0.3333333333333333,0.06149194472039621,0.7923403991979522,0.15081671151800163
Czech Republic,826.74,119.02,707.72,2,3,1,3.722e-05,5,0.6,0.2307242812760128,0.882379225767352,0.14396303553717008
West Indies,536.41,0.0,536.41,1,0,1,2.821e-05,1,0.0,0.0,0.7934506856227626,0.0
Saudi Arabia,145.92,14.75,131.17,1,1,1,6.9e-06,2,0.5,0.09453120573423074,0.9054687942657693,0.10108278508771931
Nigeria,140.39,147.05,-6.66,2,1,1,-3.5e-07,3,0.3333333333333333,0.06149194472039621,0.7923403991979522,1.047439276301731
