invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_amount,total,sale_date,sale_time,payment,rating
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,203.553,2021-01-07,0 days 11:44:00,Credit card,8.8
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,2021-01-07,0 days 12:28:00,Ewallet,6.8
390-31-6381,C,Naypyitaw,Normal,Male,Food and beverages,27.22,3,4.083,85.743,2021-01-07,0 days 12:37:00,Cash,7.3
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,10.91,229.11,2021-01-07,0 days 17:36:00,Cash,7.1
541-48-8554,A,Yangon,Normal,Male,Sports and travel,60.95,9,27.4275,575.9775,2021-01-07,0 days 12:08:00,Credit card,6.0
566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97,7,16.7895,352.5795,2021-01-07,0 days 20:52:00,Cash,6.2
799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,4,15.544,326.424,2021-01-07,0 days 16:11:00,Credit card,8.8
889-04-9723,B,Mandalay,Member,Female,Food and beverages,89.14,4,17.828,374.388,2021-01-07,0 days 12:20:00,Credit card,7.8
124-31-1458,A,Yangon,Member,Female,Electronic accessories,79.59,3,11.9385,250.7085,2021-01-08,0 days 14:30:00,Cash,6.6
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2021-01-08,0 days 16:17:00,Credit card,5.9
192-98-7397,C,Naypyitaw,Normal,Male,Fashion accessories,12.78,1,0.639,13.419,2021-01-08,0 days 14:11:00,Ewallet,9.5
241-96-5076,B,Mandalay,Member,Female,Home and lifestyle,49.1,2,4.91,103.11,2021-01-08,0 days 12:58:00,Credit card,6.4
257-60-7754,A,Yangon,Normal,Female,Electronic accessories,50.23,4,10.046,210.966,2021-01-08,0 days 17:12:00,Cash,9.0
387-49-4215,B,Mandalay,Member,Female,Sports and travel,48.5,3,7.275,152.775,2021-01-08,0 days 12:50:00,Cash,6.7
442-44-6497,C,Naypyitaw,Member,Male,Home and lifestyle,55.57,3,8.3355,175.0455,2021-01-08,0 days 11:42:00,Credit card,5.9
457-13-1708,B,Mandalay,Member,Male,Fashion accessories,65.23,10,32.615,684.915,2021-01-08,0 days 19:07:00,Credit card,5.2
484-22-8230,C,Naypyitaw,Member,Female,Fashion accessories,51.89,7,18.1615,381.3915,2021-01-08,0 days 20:08:00,Cash,4.5
490-95-0021,B,Mandalay,Member,Female,Food and beverages,33.21,10,16.605,348.705,2021-01-08,0 days 14:25:00,Ewallet,6.0
571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6,10,37.3,783.3,2021-01-08,0 days 20:55:00,Cash,9.5
631-34-1880,C,Naypyitaw,Member,Male,Food and beverages,24.31,3,3.6465,76.5765,2021-01-08,0 days 19:09:00,Credit card,4.3
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2021-01-08,0 days 15:57:00,Ewallet,8.5
674-15-9296,A,Yangon,Normal,Male,Sports and travel,37.14,5,9.285,194.985,2021-01-08,0 days 13:05:00,Ewallet,5.0
750-57-9686,C,Naypyitaw,Normal,Female,Home and lifestyle,45.38,4,9.076,190.596,2021-01-08,0 days 13:48:00,Credit card,8.7
767-97-4650,B,Mandalay,Member,Female,Sports and travel,64.83,2,6.483,136.143,2021-01-08,0 days 11:59:00,Credit card,8.0
840-76-5966,A,Yangon,Member,Male,Sports and travel,12.76,2,1.276,26.796,2021-01-08,0 days 18:06:00,Ewallet,7.8
845-94-6841,C,Naypyitaw,Member,Female,Food and beverages,72.88,9,32.796,688.716,2021-01-08,0 days 19:38:00,Cash,4.0
189-40-5216,C,Naypyitaw,Normal,Male,Electronic accessories,96.37,7,33.7295,708.3195,2021-01-09,0 days 11:40:00,Cash,6.0
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2021-01-09,0 days 14:20:00,Credit card,8.6
288-62-1085,A,Yangon,Member,Male,Fashion accessories,38.54,5,9.635,202.335,2021-01-09,0 days 13:34:00,Ewallet,5.6
305-89-2768,B,Mandalay,Member,Female,Home and lifestyle,21.9,3,3.285,68.985,2021-01-09,0 days 18:43:00,Ewallet,4.7
343-75-9322,B,Mandalay,Member,Female,Sports and travel,11.85,8,4.74,99.54,2021-01-09,0 days 16:34:00,Cash,4.1
370-96-0655,C,Naypyitaw,Normal,Female,Fashion accessories,49.32,6,14.796,310.716,2021-01-09,0 days 13:46:00,Ewallet,7.1
554-42-2417,C,Naypyitaw,Normal,Female,Sports and travel,95.44,10,47.72,1002.12,2021-01-09,0 days 13:45:00,Cash,5.2
867-47-1948,C,Naypyitaw,Normal,Female,Home and lifestyle,15.8,10,7.9,165.9,2021-01-09,0 days 12:07:00,Cash,7.8
226-34-0034,B,Mandalay,Normal,Female,Electronic accessories,13.78,4,2.756,57.876,2021-01-10,0 days 11:10:00,Ewallet,9.0
241-11-2261,B,Mandalay,Normal,Female,Fashion accessories,79.86,7,27.951,586.971,2021-01-10,0 days 10:33:00,Credit card,5.5
577-34-7579,C,Naypyitaw,Member,Male,Food and beverages,50.49,9,22.7205,477.1305,2021-01-10,0 days 17:16:00,Cash,5.4
603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,74.79,5,18.6975,392.6475,2021-01-10,0 days 11:34:00,Cash,4.9
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2021-01-10,0 days 14:49:00,Cash,5.1
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,2021-01-10,0 days 17:15:00,Credit card,7.2
744-02-5987,A,Yangon,Member,Male,Home and lifestyle,78.38,6,23.514,493.794,2021-01-10,0 days 14:16:00,Ewallet,5.8
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2021-01-10,0 days 16:42:00,Ewallet,5.1
887-42-0517,C,Naypyitaw,Normal,Female,Sports and travel,83.14,7,29.099,611.079,2021-01-10,0 days 10:31:00,Credit card,6.6
130-67-4723,A,Yangon,Member,Male,Food and beverages,48.5,6,14.55,305.55,2021-01-11,0 days 13:57:00,Ewallet,9.4
289-15-7034,A,Yangon,Member,Male,Sports and travel,82.33,4,16.466,345.786,2021-01-11,0 days 10:37:00,Credit card,7.5
406-46-7107,A,Yangon,Normal,Female,Home and lifestyle,96.52,6,28.956,608.076,2021-01-11,0 days 11:52:00,Cash,4.5
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1,4.4845,94.1745,2021-01-11,0 days 11:20:00,Ewallet,4.9
540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9,11.223,235.683,2021-01-11,0 days 16:49:00,Credit card,5.6
592-46-1692,C,Naypyitaw,Member,Female,Food and beverages,36.77,7,12.8695,270.2595,2021-01-11,0 days 20:10:00,Cash,7.4
732-67-5346,A,Yangon,Normal,Male,Food and beverages,13.79,5,3.4475,72.3975,2021-01-11,0 days 19:07:00,Credit card,7.8
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16,2,8.716,183.036,2021-01-11,0 days 14:29:00,Credit card,9.7
197-77-7132,B,Mandalay,Member,Male,Electronic accessories,91.56,8,36.624,769.104,2021-01-12,0 days 18:22:00,Ewallet,6.0
296-11-7041,B,Mandalay,Member,Female,Health and beauty,27.07,1,1.3535,28.4235,2021-01-12,0 days 20:07:00,Credit card,5.3
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2021-01-12,0 days 15:48:00,Credit card,5.7
533-66-5566,B,Mandalay,Normal,Female,Home and lifestyle,51.07,7,17.8745,375.3645,2021-01-12,0 days 11:42:00,Cash,7.0
647-50-1224,A,Yangon,Normal,Female,Fashion accessories,29.42,10,14.71,308.91,2021-01-12,0 days 16:23:00,Ewallet,8.9
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,2021-01-12,0 days 12:02:00,Credit card,6.5
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2021-01-12,0 days 14:50:00,Ewallet,7.3
751-15-6198,B,Mandalay,Normal,Male,Sports and travel,23.01,6,6.903,144.963,2021-01-12,0 days 16:45:00,Ewallet,7.9
751-41-9720,C,Naypyitaw,Normal,Male,Home and lifestyle,97.5,10,48.75,1023.75,2021-01-12,0 days 16:18:00,Ewallet,8.0
848-07-1692,B,Mandalay,Normal,Female,Health and beauty,57.22,2,5.722,120.162,2021-01-12,0 days 17:13:00,Ewallet,8.3
852-62-7105,B,Mandalay,Normal,Female,Fashion accessories,83.25,10,41.625,874.125,2021-01-12,0 days 11:25:00,Credit card,4.4
195-06-0432,A,Yangon,Member,Male,Home and lifestyle,81.01,3,12.1515,255.1815,2021-01-13,0 days 12:55:00,Credit card,9.3
327-40-9673,B,Mandalay,Member,Male,Sports and travel,72.6,6,21.78,457.38,2021-01-13,0 days 19:51:00,Cash,6.9
339-38-9982,B,Mandalay,Member,Male,Fashion accessories,59.86,2,5.986,125.706,2021-01-13,0 days 14:55:00,Ewallet,6.7
355-34-6244,B,Mandalay,Normal,Male,Food and beverages,72.39,2,7.239,152.019,2021-01-13,0 days 19:55:00,Credit card,8.1
397-25-8725,A,Yangon,Member,Female,Health and beauty,39.62,9,17.829,374.409,2021-01-13,0 days 17:54:00,Credit card,6.8
459-50-7686,A,Yangon,Normal,Female,Electronic accessories,23.46,6,7.038,147.798,2021-01-13,0 days 19:14:00,Ewallet,6.4
460-93-5834,A,Yangon,Normal,Male,Sports and travel,45.58,7,15.953,335.013,2021-01-13,0 days 10:03:00,Cash,5.0
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,2021-01-13,0 days 19:30:00,Cash,5.0
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2021-01-13,0 days 17:04:00,Credit card,5.4
784-08-0310,C,Naypyitaw,Member,Female,Food and beverages,21.04,4,4.208,88.368,2021-01-13,0 days 13:58:00,Cash,7.6
320-85-2052,B,Mandalay,Normal,Female,Sports and travel,34.81,1,1.7405,36.5505,2021-01-14,0 days 10:11:00,Credit card,7.0
359-90-3665,B,Mandalay,Member,Female,Fashion accessories,18.08,4,3.616,75.936,2021-01-14,0 days 18:03:00,Credit card,9.5
377-79-7592,C,Naypyitaw,Member,Female,Electronic accessories,44.84,9,20.178,423.738,2021-01-14,0 days 14:00:00,Credit card,7.5
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,2021-01-14,0 days 10:02:00,Cash,9.8
451-73-2711,C,Naypyitaw,Normal,Male,Food and beverages,84.83,1,4.2415,89.0715,2021-01-14,0 days 15:20:00,Ewallet,8.8
559-61-5987,B,Mandalay,Normal,Female,Health and beauty,17.75,1,0.8875,18.6375,2021-01-14,0 days 10:38:00,Cash,8.6
588-47-8641,A,Yangon,Member,Male,Fashion accessories,56.04,10,28.02,588.42,2021-01-14,0 days 19:30:00,Ewallet,4.4
592-34-6155,C,Naypyitaw,Normal,Male,Food and beverages,31.77,4,6.354,133.434,2021-01-14,0 days 14:43:00,Ewallet,6.2
658-66-3967,C,Naypyitaw,Normal,Male,Health and beauty,53.19,7,18.6165,390.9465,2021-01-14,0 days 15:42:00,Ewallet,5.0
667-23-5919,A,Yangon,Member,Female,Fashion accessories,96.7,5,24.175,507.675,2021-01-14,0 days 12:52:00,Ewallet,7.0
704-10-4056,C,Naypyitaw,Member,Male,Health and beauty,60.47,3,9.0705,190.4805,2021-01-14,0 days 10:55:00,Credit card,5.6
785-13-7708,B,Mandalay,Normal,Male,Food and beverages,73.06,7,25.571,536.991,2021-01-14,0 days 19:06:00,Credit card,4.2
868-52-7573,B,Mandalay,Normal,Female,Food and beverages,99.69,5,24.9225,523.3725,2021-01-14,0 days 12:09:00,Cash,9.9
138-17-5109,A,Yangon,Member,Female,Home and lifestyle,89.21,9,40.1445,843.0345,2021-01-15,0 days 15:42:00,Credit card,6.5
188-55-0967,B,Mandalay,Member,Male,Health and beauty,66.47,10,33.235,697.935,2021-01-15,0 days 15:01:00,Credit card,5.0
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,2021-01-15,0 days 17:17:00,Ewallet,4.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2021-01-15,0 days 16:19:00,Cash,4.5
301-11-9629,A,Yangon,Normal,Female,Sports and travel,19.1,7,6.685,140.385,2021-01-15,0 days 10:43:00,Cash,9.7
314-23-4520,C,Naypyitaw,Member,Male,Health and beauty,81.23,7,28.4305,597.0405,2021-01-15,0 days 20:44:00,Cash,9.0
369-82-2676,B,Mandalay,Normal,Male,Electronic accessories,75.66,5,18.915,397.215,2021-01-15,0 days 18:22:00,Ewallet,7.8
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,2021-01-15,0 days 13:41:00,Ewallet,4.6
450-28-2866,C,Naypyitaw,Member,Male,Food and beverages,17.44,5,4.36,91.56,2021-01-15,0 days 19:25:00,Cash,8.1
589-02-8023,A,Yangon,Member,Male,Food and beverages,83.77,2,8.377,175.917,2021-01-15,0 days 10:54:00,Credit card,7.0
660-29-7083,C,Naypyitaw,Normal,Male,Electronic accessories,55.87,10,27.935,586.635,2021-01-15,0 days 15:01:00,Cash,5.8
744-16-7898,B,Mandalay,Normal,Female,Home and lifestyle,97.37,10,48.685,1022.385,2021-01-15,0 days 13:48:00,Credit card,4.9
886-54-6089,A,Yangon,Normal,Female,Home and lifestyle,11.43,6,3.429,72.009,2021-01-15,0 days 17:24:00,Cash,7.7
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,2021-01-16,0 days 13:32:00,Cash,4.8
286-62-6248,B,Mandalay,Normal,Male,Fashion accessories,39.21,4,7.842,164.682,2021-01-16,0 days 20:03:00,Credit card,9.0
347-72-6115,B,Mandalay,Member,Female,Sports and travel,90.74,7,31.759,666.939,2021-01-16,0 days 18:03:00,Credit card,6.2
372-62-5264,C,Naypyitaw,Normal,Female,Food and beverages,52.6,9,23.67,497.07,2021-01-16,0 days 14:42:00,Cash,7.6
618-34-8551,A,Yangon,Normal,Female,Sports and travel,93.18,2,9.318,195.678,2021-01-16,0 days 18:41:00,Credit card,8.5
648-83-1321,A,Yangon,Member,Male,Home and lifestyle,63.56,10,31.78,667.38,2021-01-16,0 days 17:59:00,Cash,4.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2021-01-16,0 days 15:26:00,Ewallet,5.2
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,41.967,881.307,2021-01-16,0 days 18:08:00,Cash,8.8
842-29-4695,C,Naypyitaw,Member,Male,Sports and travel,17.14,7,5.999,125.979,2021-01-16,0 days 12:07:00,Credit card,7.9
859-71-0933,C,Naypyitaw,Member,Female,Sports and travel,15.49,2,1.549,32.529,2021-01-16,0 days 15:10:00,Cash,6.3
101-81-4070,C,Naypyitaw,Member,Female,Health and beauty,62.82,2,6.282,131.922,2021-01-17,0 days 12:36:00,Ewallet,4.9
200-16-5952,C,Naypyitaw,Member,Male,Food and beverages,65.65,2,6.565,137.865,2021-01-17,0 days 16:46:00,Cash,6.0
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2021-01-17,0 days 18:45:00,Ewallet,7.9
349-97-8902,B,Mandalay,Member,Male,Food and beverages,57.89,2,5.789,121.569,2021-01-17,0 days 10:37:00,Ewallet,8.9
445-30-9252,A,Yangon,Normal,Male,Sports and travel,25.7,3,3.855,80.955,2021-01-17,0 days 17:59:00,Ewallet,6.1
497-37-6538,A,Yangon,Normal,Male,Sports and travel,58.91,7,20.6185,432.9885,2021-01-17,0 days 15:15:00,Ewallet,9.7
600-38-9738,C,Naypyitaw,Member,Male,Sports and travel,71.92,5,17.98,377.58,2021-01-17,0 days 15:05:00,Credit card,4.3
670-79-6321,B,Mandalay,Member,Female,Home and lifestyle,94.59,7,33.1065,695.2365,2021-01-17,0 days 15:27:00,Credit card,4.9
679-22-6530,B,Mandalay,Normal,Female,Sports and travel,40.62,2,4.062,85.302,2021-01-17,0 days 10:01:00,Credit card,4.1
698-98-5964,A,Yangon,Normal,Female,Food and beverages,81.21,10,40.605,852.705,2021-01-17,0 days 13:01:00,Credit card,6.3
746-54-5508,A,Yangon,Normal,Male,Home and lifestyle,21.52,6,6.456,135.576,2021-01-17,0 days 12:48:00,Credit card,9.4
166-19-2553,A,Yangon,Member,Male,Sports and travel,89.06,6,26.718,561.078,2021-01-18,0 days 17:26:00,Cash,9.9
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,7.916,166.236,2021-01-18,0 days 12:04:00,Ewallet,8.7
562-12-5430,A,Yangon,Member,Female,Fashion accessories,88.15,3,13.2225,277.6725,2021-01-18,0 days 10:11:00,Ewallet,7.9
622-20-1945,C,Naypyitaw,Normal,Female,Health and beauty,39.42,1,1.971,41.391,2021-01-18,0 days 15:08:00,Cash,8.4
678-79-0726,C,Naypyitaw,Member,Female,Sports and travel,90.63,9,40.7835,856.4535,2021-01-18,0 days 15:28:00,Cash,5.1
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2021-01-18,0 days 20:59:00,Credit card,8.8
706-36-6154,A,Yangon,Member,Male,Home and lifestyle,19.36,9,8.712,182.952,2021-01-18,0 days 18:43:00,Ewallet,8.7
781-84-8059,C,Naypyitaw,Normal,Male,Fashion accessories,60.74,7,21.259,446.439,2021-01-18,0 days 16:23:00,Ewallet,5.0
821-14-9046,B,Mandalay,Member,Female,Fashion accessories,17.48,6,5.244,110.124,2021-01-18,0 days 15:04:00,Credit card,6.1
125-45-2293,A,Yangon,Normal,Female,Fashion accessories,99.1,6,29.73,624.33,2021-01-19,0 days 13:11:00,Cash,4.2
149-61-1929,A,Yangon,Normal,Male,Sports and travel,64.19,10,32.095,673.995,2021-01-19,0 days 14:08:00,Credit card,6.7
151-27-8496,C,Naypyitaw,Normal,Female,Electronic accessories,56.13,4,11.226,235.746,2021-01-19,0 days 11:43:00,Ewallet,8.6
284-54-4231,C,Naypyitaw,Member,Male,Sports and travel,80.93,1,4.0465,84.9765,2021-01-19,0 days 16:08:00,Credit card,9.0
375-72-3056,B,Mandalay,Normal,Male,Sports and travel,63.06,3,9.459,198.639,2021-01-19,0 days 15:58:00,Ewallet,7.0
482-17-1179,A,Yangon,Member,Male,Electronic accessories,11.94,3,1.791,37.611,2021-01-19,0 days 12:47:00,Credit card,8.1
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,333.207,2021-01-19,0 days 17:34:00,Credit card,9.8
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2021-01-19,0 days 20:07:00,Ewallet,4.3
728-47-9078,C,Naypyitaw,Member,Male,Food and beverages,59.59,4,11.918,250.278,2021-01-19,0 days 12:46:00,Cash,9.8
761-49-0439,B,Mandalay,Member,Female,Electronic accessories,12.1,8,4.84,101.64,2021-01-19,0 days 10:17:00,Ewallet,8.6
779-06-0012,C,Naypyitaw,Member,Female,Home and lifestyle,88.61,1,4.4305,93.0405,2021-01-19,0 days 10:21:00,Cash,7.7
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,2021-01-19,0 days 16:31:00,Cash,6.5
809-69-9497,A,Yangon,Normal,Female,Home and lifestyle,45.68,10,22.84,479.64,2021-01-19,0 days 19:30:00,Ewallet,5.7
832-51-6761,A,Yangon,Normal,Male,Food and beverages,33.88,8,13.552,284.592,2021-01-19,0 days 20:29:00,Ewallet,9.6
