sale_date,city,transactions,revenue,units
2021-01-16,Yangon,2,863.058,12.0
2021-01-17,Mandalay,4,993.1635,12.0
2021-01-17,Naypyitaw,3,647.367,9.0
2021-01-17,Yangon,4,1502.2245,26.0
2021-01-18,Mandalay,2,276.36,14.0
2021-01-18,Naypyitaw,3,1344.2835,17.0
2021-01-18,Yangon,4,1159.83,23.0
2021-01-19,Mandalay,3,633.486,17.0
2021-01-19,Naypyitaw,5,1026.753,18.0
2021-01-19,Yangon,8,3254.4855,56.0
2021-01-20,Mandalay,2,230.286,5.0
2021-01-20,Naypyitaw,4,1700.202,27.0
2021-01-20,Yangon,4,1724.961,24.0
2021-01-21,Mandalay,1,103.0365,1.0
2021-01-21,Naypyitaw,2,697.326,7.0
2021-01-21,Yangon,5,1591.737,24.0
2021-01-22,Mandalay,2,503.118,11.0
2021-01-22,Naypyitaw,3,399.378,11.0
2021-01-22,Yangon,2,802.2735,12.0
2021-01-23,Naypyitaw,10,3632.874,59.0
2021-01-23,Yangon,7,2361.3135,36.0
2021-01-24,Mandalay,6,2608.935,41.0
2021-01-24,Naypyitaw,2,333.9315,4.0
2021-01-24,Yangon,5,2459.184,39.0
2021-01-25,Mandalay,7,1601.25,28.0
2021-01-25,Naypyitaw,5,2185.2915,31.0
2021-01-25,Yangon,5,913.8255,21.0
2021-01-26,Mandalay,10,3203.277,49.0
2021-01-26,Naypyitaw,4,839.2335,19.0
2021-01-26,Yangon,3,415.002,9.0
2021-01-27,Mandalay,2,918.477,14.0
2021-01-27,Naypyitaw,6,2043.1425,44.0
2021-01-27,Yangon,6,1674.2775,29.0
2021-01-28,Mandalay,6,3130.3755,45.0
2021-01-28,Naypyitaw,6,1581.4785,31.0
2021-01-28,Yangon,2,287.8575,15.0
2021-01-29,Mandalay,3,946.554,20.0
2021-01-29,Naypyitaw,4,1045.0965,23.0
2021-01-29,Yangon,5,1524.915,24.0
2021-01-30,Mandalay,2,455.658,12.0
2021-01-30,Naypyitaw,6,1807.197,24.0
2021-01-30,Yangon,1,295.407,3.0
2021-01-31,Mandalay,7,2782.2795,38.0
2021-01-31,Naypyitaw,4,1862.0595,31.0
2021-01-31,Yangon,3,588.1575,13.0
2021-02-01,Naypyitaw,3,1532.601,24.0
2021-02-01,Yangon,3,911.9355,16.0
2021-02-02,Mandalay,4,1609.2825,31.0
2021-02-02,Naypyitaw,6,1511.706,23.0
2021-02-02,Yangon,4,1019.9595,29.0
2021-02-03,Mandalay,5,1037.4945,19.0
2021-02-03,Naypyitaw,4,1713.075,26.0
2021-02-03,Yangon,5,2717.358,37.0
2021-02-04,Mandalay,4,1054.5465,16.0
2021-02-04,Naypyitaw,2,145.5615,10.0
2021-02-04,Yangon,5,1239.3885,24.0
2021-02-05,Mandalay,3,989.646,20.0
2021-02-05,Naypyitaw,4,1473.0555,21.0
2021-02-05,Yangon,5,568.428,13.0
2021-02-06,Mandalay,5,1080.6705,39.0
2021-02-06,Naypyitaw,6,1401.561,23.0
2021-02-06,Yangon,2,423.192,11.0
2021-02-07,Mandalay,6,2723.3115,48.0
2021-02-07,Naypyitaw,9,2438.289,52.0
2021-02-07,Yangon,5,2066.61,28.0
2021-02-08,Mandalay,6,1755.453,30.0
2021-02-08,Naypyitaw,3,1634.85,22.0
2021-02-08,Yangon,3,1694.3535,18.0
2021-02-09,Mandalay,4,1045.1175,16.0
2021-02-09,Naypyitaw,6,1628.697,33.0
2021-02-09,Yangon,3,598.08,20.0
2021-02-10,Mandalay,4,688.359,20.0
2021-02-10,Naypyitaw,3,1429.995,19.0
2021-02-10,Yangon,4,1022.6685,23.0
2021-02-11,Mandalay,3,1847.9265,22.0
2021-02-11,Naypyitaw,3,2043.9825,25.0
2021-02-11,Yangon,2,650.244,7.0
2021-02-12,Mandalay,3,1472.352,19.0
2021-02-12,Naypyitaw,2,969.5175,11.0
2021-02-12,Yangon,3,557.1195,13.0
2021-02-13,Mandalay,3,326.193,15.0
2021-02-13,Naypyitaw,3,391.9335,11.0
2021-02-13,Yangon,2,216.111,5.0
2021-02-14,Mandalay,2,759.696,11.0
2021-02-14,Naypyitaw,3,621.579,14.0
2021-02-14,Yangon,3,1072.8165,12.0
2021-02-15,Mandalay,7,3214.8165,44.0
2021-02-15,Naypyitaw,7,2392.761,39.0
2021-02-15,Yangon,5,1223.208,23.0
2021-02-16,Mandalay,4,1238.748,24.0
2021-02-16,Naypyitaw,3,1082.592,18.0
2021-02-16,Yangon,1,182.427,7.0
2021-02-17,Mandalay,2,851.151,14.0
2021-02-17,Naypyitaw,4,1377.4635,26.0
2021-02-17,Yangon,7,3070.956,39.0
2021-02-18,Mandalay,1,30.996,2.0
2021-02-18,Naypyitaw,3,533.2845,8.0
2021-02-18,Yangon,3,931.749,14.0
2021-02-19,Mandalay,1,470.988,7.0
2021-02-19,Naypyitaw,4,1693.8075,29.0
2021-02-19,Yangon,4,2063.3235,25.0
2021-02-20,Mandalay,6,1712.802,35.0
2021-02-20,Naypyitaw,1,90.5835,1.0
2021-02-20,Yangon,3,903.0315,17.0
2021-02-21,Mandalay,2,435.7605,7.0
2021-02-21,Naypyitaw,3,659.862,8.0
2021-02-21,Yangon,1,298.116,3.0
2021-02-22,Mandalay,5,1172.6295,28.0
2021-02-22,Naypyitaw,3,760.515,10.0
2021-02-22,Yangon,3,509.166,21.0
2021-02-23,Mandalay,4,1226.652,24.0
2021-02-23,Naypyitaw,3,804.363,12.0
2021-02-23,Yangon,1,308.574,4.0
2021-02-24,Mandalay,3,763.014,16.0
2021-02-24,Naypyitaw,4,1436.589,31.0
2021-02-24,Yangon,2,522.858,12.0
2021-02-25,Mandalay,8,2498.1495,38.0
2021-02-25,Naypyitaw,2,502.7505,6.0
2021-02-25,Yangon,6,1806.336,22.0
2021-02-26,Mandalay,6,2035.3725,25.0
2021-02-26,Naypyitaw,1,216.6885,9.0
2021-02-26,Yangon,2,156.1035,3.0
2021-02-27,Mandalay,6,1888.383,43.0
2021-02-27,Naypyitaw,3,1529.367,16.0
2021-02-27,Yangon,5,2441.7015,38.0
2021-02-28,Mandalay,2,494.76,11.0
2021-02-28,Naypyitaw,2,917.952,10.0
2021-02-28,Yangon,2,684.306,9.0
2021-03-01,Mandalay,5,933.3135,16.0
2021-03-01,Naypyitaw,2,1056.8355,13.0
2021-03-01,Yangon,3,644.217,16.0
2021-03-02,Mandalay,9,3572.2575,52.0
2021-03-02,Naypyitaw,6,2346.5925,34.0
2021-03-02,Yangon,3,641.4555,9.0
2021-03-03,Mandalay,3,1813.749,26.0
2021-03-03,Naypyitaw,6,2224.908,45.0
2021-03-03,Yangon,5,814.5165,24.0
2021-03-04,Mandalay,1,181.818,9.0
2021-03-04,Naypyitaw,2,860.832,9.0
2021-03-04,Yangon,9,2851.7895,57.0
2021-03-05,Mandalay,10,3540.0015,59.0
2021-03-05,Naypyitaw,5,2272.1895,39.0
2021-03-05,Yangon,2,418.6875,5.0
2021-03-06,Mandalay,6,2020.4205,36.0
2021-03-06,Naypyitaw,1,38.85,1.0
2021-03-06,Yangon,4,1033.326,26.0
2021-03-07,Mandalay,2,297.906,7.0
2021-03-07,Naypyitaw,4,771.666,16.0
2021-03-07,Yangon,3,368.6865,14.0
2021-03-08,Mandalay,1,92.5575,5.0
2021-03-08,Naypyitaw,6,1440.558,33.0
2021-03-08,Yangon,4,1592.2725,22.0
2021-03-09,Mandalay,6,3006.486,39.0
2021-03-09,Naypyitaw,4,1687.371,21.0
2021-03-09,Yangon,6,2780.19,39.0
2021-03-10,Mandalay,3,341.2605,11.0
2021-03-10,Naypyitaw,3,1342.7715,22.0
2021-03-10,Yangon,6,1479.198,26.0
2021-03-11,Mandalay,3,483.336,14.0
2021-03-11,Naypyitaw,3,766.7415,20.0
2021-03-11,Yangon,5,1711.1745,26.0
2021-03-12,Mandalay,5,1392.3945,24.0
2021-03-12,Naypyitaw,5,1361.703,25.0
2021-03-12,Yangon,2,923.454,11.0
2021-03-13,Mandalay,3,423.885,16.0
2021-03-13,Naypyitaw,4,851.613,19.0
2021-03-13,Yangon,3,788.109,22.0
2021-03-14,Mandalay,5,2013.9945,38.0
2021-03-14,Naypyitaw,9,3449.0295,58.0
2021-03-14,Yangon,4,1751.61,21.0
2021-03-15,Mandalay,8,1749.7725,37.0
2021-03-15,Naypyitaw,1,548.184,8.0
2021-03-15,Yangon,3,644.4585,21.0
2021-03-16,Mandalay,3,841.2915,15.0
2021-03-16,Naypyitaw,3,1270.479,15.0
2021-03-16,Yangon,3,1042.7025,17.0
2021-03-17,Mandalay,2,450.009,15.0
2021-03-17,Naypyitaw,2,393.246,11.0
2021-03-17,Yangon,2,1133.034,14.0
2021-03-18,Mandalay,2,453.033,6.0
2021-03-18,Naypyitaw,3,450.1875,12.0
2021-03-18,Yangon,2,389.613,9.0
2021-03-19,Mandalay,3,599.6025,19.0
2021-03-19,Naypyitaw,7,3248.658,38.0
2021-03-19,Yangon,6,1892.1315,30.0
2021-03-20,Mandalay,6,1683.8115,22.0
2021-03-20,Naypyitaw,3,1401.9285,21.0
2021-03-20,Yangon,6,2372.4645,37.0
2021-03-21,Mandalay,1,207.858,4.0
2021-03-21,Naypyitaw,1,360.927,6.0
2021-03-21,Yangon,4,1308.7305,25.0
2021-03-22,Mandalay,3,1051.092,18.0
2021-03-22,Yangon,7,2128.056,34.0
2021-03-23,Mandalay,1,384.468,4.0
2021-03-23,Naypyitaw,4,1962.198,29.0
2021-03-23,Yangon,6,1748.376,34.0
2021-03-24,Mandalay,4,1564.7835,22.0
2021-03-24,Naypyitaw,5,1488.06,29.0
2021-03-24,Yangon,2,424.62,6.0
2021-03-25,Mandalay,2,418.089,6.0
2021-03-25,Naypyitaw,3,1277.7555,18.0
2021-03-25,Yangon,4,577.122,18.0
2021-03-26,Mandalay,3,301.203,13.0
2021-03-26,Naypyitaw,4,473.97,14.0
2021-03-26,Yangon,6,1187.34,25.0
2021-03-27,Mandalay,4,898.8945,14.0
2021-03-27,Naypyitaw,1,943.299,9.0
2021-03-27,Yangon,5,1060.626,22.0
2021-03-28,Mandalay,1,95.6655,3.0
2021-03-28,Naypyitaw,3,480.8055,10.0
2021-03-28,Yangon,6,1652.931,35.0
2021-03-29,Mandalay,4,2059.932,27.0
2021-03-29,Naypyitaw,2,985.698,14.0
2021-03-29,Yangon,2,977.613,13.0
2021-03-30,Mandalay,3,1724.457,19.0
2021-03-30,Naypyitaw,4,1441.986,25.0
2021-03-30,Yangon,4,1320.6165,23.0
